		L v S log2 FC				
PA0458	1199.112105	-0.901234183	0.632394142	-1.425114691	0.154124051	0.994061663
PA1177	8.062380798	-0.900980388	0.641354565	-1.404808567	0.160078211	0.994061663
PA3471	195.6352291	-0.895720341	0.543480173	-1.648119629	0.099328125	0.994061663
EBG00001435495	7011.33142	-0.894941918	0.657512089	-1.361103367	0.173481026	0.994061663
PA0971	60.22286651	-0.894333719	0.56427498	-1.584925347	0.112983297	0.994061663
PA1606	136.0359721	-0.894233235	0.540861088	-1.653351025	0.098259444	0.994061663
PA3528	453.2305227	-0.8934619	0.568560263	-1.571446261	0.116079028	0.994061663
PA0651	1312.519959	-0.89088508	0.635617631	-1.401605362	0.161033125	0.994061663
EBG00001435498	3863.751231	-0.890254922	0.65924447	-1.350416975	0.176882269	0.994061663
PA1754	118.9757962	-0.889437648	0.540519451	-1.64552385	0.099861828	0.994061663
PA3943	250.2901531	-0.887552723	0.546367386	-1.624461389	0.104277374	0.994061663
PA2669	141.7820888	-0.887276805	0.54019914	-1.642499477	0.100486534	0.994061663
PA1587	83.43005102	-0.886691727	0.546953164	-1.621147451	0.104986019	0.994061663
PA3761	550.9145067	-0.884913087	0.581417238	-1.521993207	0.128010783	0.994061663
PA4442	707.7523121	-0.884397488	0.601338257	-1.470715486	0.141368076	0.994061663
PA0862	62.27186937	-0.884372574	0.561263594	-1.575681345	0.115099259	0.994061663
PA4347	62.27186937	-0.884372574	0.561263594	-1.575681345	0.115099259	0.994061663
PA4676	900.8931029	-0.88388548	0.61775604	-1.430800224	0.152487479	0.994061663
PA5130	23.25172805	-0.883757758	0.633905227	-1.394148084	0.163272891	0.994061663
PA4587	226.2366413	-0.883609318	0.544067571	-1.624080106	0.104358713	0.994061663
PA4444	920.4477171	-0.882896152	0.618874953	-1.426614775	0.153690963	0.994061663
PA1797	785.5698771	-0.882849613	0.608938324	-1.449817787	0.147109338	0.994061663
PA3347	14.83299893	-0.882831321	0.656660964	-1.344424854	0.178811041	0.994061663
