		L v S log2 FC				
PA3686	23.16264097	-0.471931446	0.618746893	-0.76272132	0.445629613	0.994061663
PA0697	4.944332975	-0.471026812	0.602945638	-0.78120942	0.434679334	0.994061663
PA4908	4.944332975	-0.471026812	0.602945638	-0.78120942	0.434679334	0.994061663
PA3464	221.2032212	-0.470742014	0.501637115	-0.938411454	0.348033002	0.994061663
PA3371	61.24736794	-0.470255596	0.529551137	-0.88802679	0.374526341	0.994061663
PA2014	124.321021	-0.468325843	0.49911481	-0.938312856	0.348083655	0.994061663
PA3477	88.68618877	-0.468204559	0.506842605	-0.923767171	0.355607551	0.994061663
PA0386	105.4791035	-0.468157439	0.501527888	-0.933462425	0.350581263	0.994061663
PA5270	45.47895467	-0.465637003	0.555299787	-0.838532652	0.401731618	0.994061663
PA0465	362.9407665	-0.464634004	0.51579319	-0.900814538	0.367686937	0.994061663
PA3015	215.4571045	-0.464154107	0.500706046	-0.926999206	0.353926946	0.994061663
PA1360	1148.866992	-0.464040834	0.605926607	-0.765836701	0.443773474	0.994061663
PA2746	257.2389453	-0.46317803	0.503889501	-0.919205558	0.357988065	0.994061663
PA4012	1290.559994	-0.463021486	0.612729667	-0.755670096	0.449847018	0.994061663
PA0872	114.0760068	-0.46280642	0.49968461	-0.926197066	0.354343577	0.994061663
PA1487	56.1248608	-0.462702994	0.536229976	-0.862881627	0.388202553	0.994061663
PA1025	68.81976979	-0.462654154	0.52047848	-0.888901602	0.374055964	0.994061663
PA5189	831.4497236	-0.461395961	0.584009686	-0.790048474	0.42949946	0.994061663
PA3639	10.46773197	-0.46105396	0.659443946	-0.69915565	0.484454764	0.994061663
PA0760	55.10035937	-0.461019164	0.537703676	-0.857385181	0.391232046	0.994061663
PA3909	481.9611062	-0.460454739	0.53264878	-0.864462204	0.387334034	0.994061663
PA3182	20.08913668	-0.460295574	0.630178888	-0.730420493	0.465133196	0.994061663
PA3213	20.08913668	-0.460295574	0.630178888	-0.730420493	0.465133196	0.994061663
PA4335	20.08913668	-0.460295574	0.630178888	-0.730420493	0.465133196	0.994061663
PA5175	968.3765665	-0.458092519	0.595054806	-0.769832484	0.441399268	0.994061663
PA4962	539.734078	-0.457157769	0.542369716	-0.842889557	0.399290214	0.994061663
PA1750	290.2011652	-0.45629924	0.506573277	-0.900756635	0.367717729	0.994061663
PA1777	19.06463526	-0.455722051	0.634089816	-0.718702682	0.472324131	0.994061663
PA2916	40.35644753	-0.45446301	0.566182179	-0.802679822	0.422159819	0.994061663
PA3563	164.8556427	-0.454017642	0.497717108	-0.912200193	0.361663343	0.994061663
PA0153	86.01357636	-0.452502883	0.507018487	-0.892478074	0.37213674	0.994061663
PA2254	28.68603997	-0.452141604	0.598812561	-0.75506366	0.450210787	0.994061663
PA4671	28.68603997	-0.452141604	0.598812561	-0.75506366	0.450210787	0.994061663
PA4893	28.68603997	-0.452141604	0.598812561	-0.75506366	0.450210787	0.994061663
PA0729.1	9.443230548	-0.45184525	0.658474282	-0.6862003	0.492586809	0.994061663
PA1448	9.443230548	-0.45184525	0.658474282	-0.6862003	0.492586809	0.994061663
PA3385	9.443230548	-0.45184525	0.658474282	-0.6862003	0.492586809	0.994061663
PA3416	9.443230548	-0.45184525	0.658474282	-0.6862003	0.492586809	0.994061663
PA3733	209.0873783	-0.451441505	0.499268367	-0.904206104	0.365886124	0.994061663
PA1971	263.5641281	-0.451160241	0.503480047	-0.896083655	0.370208086	0.994061663
PA1043	239.5997034	-0.449951106	0.501283653	-0.897597802	0.369400011	0.994061663
PA3468	124.0983033	-0.449447237	0.497668363	-0.903105905	0.36646969	0.994061663
PA0451	59.59925695	-0.449062152	0.530468301	-0.846539088	0.397252078	0.994061663
PA2562	27.66153854	-0.448649883	0.602090458	-0.745153618	0.456178859	0.994061663
PA3186	27.66153854	-0.448649883	0.602090458	-0.745153618	0.456178859	0.994061663
PA2288	95.90224231	-0.448370012	0.467523485	-0.959032061	0.337542594	0.994061663
PA1125	449.132517	-0.447780545	0.526309158	-0.850793756	0.394883931	0.994061663
PA4314	107.3053886	-0.447589309	0.499629645	-0.895842177	0.37033706	0.994061663
EBG00001435404	283.8314389	-0.447085586	0.505149668	-0.885055687	0.376126598	0.994061663
PA2421	92.56147678	-0.446152555	0.503646664	-0.885844357	0.375701404	0.994061663
PA4175	1505.259858	-0.445991893	0.620573776	-0.718676666	0.472340164	0.994061663
PA2257	57.55025409	-0.44542437	0.533140859	-0.835472208	0.403451889	0.994061663
PA0175	17.0156324	-0.445213459	0.641900907	-0.693585963	0.487941899	0.994061663
PA4943	46.90434796	-0.444962642	0.551366168	-0.807018399	0.419655883	0.994061663
PA1656	26.63703711	-0.444935328	0.605463523	-0.734867273	0.462420332	0.994061663
PA5171	78.84206636	-0.444280494	0.51080881	-0.869758871	0.384432193	0.994061663
PA0978	3.919831548	-0.444092884	0.563997637	-0.787402028	0.43104656	0.994061663
PA4277	3.919831548	-0.444092884	0.563997637	-0.787402028	0.43104656	0.994061663
PA4413	3.919831548	-0.444092884	0.563997637	-0.787402028	0.43104656	0.994061663
PA1140	203.3412616	-0.443837833	0.498330891	-0.890648845	0.373117586	0.994061663
PA0288	36.25844182	-0.443570804	0.576100494	-0.769953869	0.441327258	0.994061663
PA1898	36.25844182	-0.443570804	0.576100494	-0.769953869	0.441327258	0.994061663
PA3794	56.52575266	-0.443506064	0.534545732	-0.829687784	0.40671533	0.994061663
PA0479	201.2922587	-0.443072063	0.49816202	-0.889413574	0.373780853	0.994061663
PA0990	156.0360217	-0.442653511	0.496616754	-0.891338256	0.372747731	0.994061663
PA2432	113.8532891	-0.442215276	0.498165712	-0.887687101	0.374709086	0.994061663
PA3630	155.0115203	-0.442118522	0.496557279	-0.89036762	0.373268523	0.994061663
PA5436	429.4442722	-0.441366418	0.522830204	-0.844186918	0.398564964	0.994061663
PA1029	25.61253568	-0.440975365	0.608932139	-0.724178174	0.468956356	0.994061663
PA1635	8.41872912	-0.440799258	0.655161132	-0.672810453	0.501067887	0.994061663
PA4750	8.41872912	-0.440799258	0.655161132	-0.672810453	0.501067887	0.994061663
PA5185	455.4576998	-0.440681839	0.52677716	-0.83656216	0.402838723	0.994061663
PA1859	111.8042862	-0.440581285	0.498341552	-0.884095022	0.37664492	0.994061663
PA0821	803.8327286	-0.44056184	0.579930437	-0.759680493	0.447445592	0.994061663
PA5135	35.23394039	-0.440520378	0.578756787	-0.761149395	0.44656784	0.994061663
PA2615	65.12265595	-0.440241426	0.523054223	-0.841674547	0.399970149	0.994061663
PA3426	44.8553451	-0.440088177	0.555352827	-0.792447891	0.428099564	0.994061663
PA3979	342.1834767	-0.439551524	0.51118702	-0.859864407	0.38986379	0.994061663
PA3318	15.99113097	-0.439170894	0.645691136	-0.680156301	0.496405499	0.994061663
PA4230	15.99113097	-0.439170894	0.645691136	-0.680156301	0.496405499	0.994061663
PA3595	43.83084367	-0.437495941	0.557439633	-0.784831064	0.432552624	0.994061663
PA3424	120.4011895	-0.437320136	0.497058249	-0.879816675	0.37895863	0.994061663
PA2440	53.45224838	-0.437315794	0.539049855	-0.811271516	0.417209764	0.994061663
PA0620	367.5732947	-0.437090454	0.514184143	-0.850065993	0.395288397	0.994061663
PA2354	24.58803426	-0.436745775	0.612494311	-0.713060949	0.475808043	0.994061663
PA2876	63.07365309	-0.436702598	0.525269102	-0.831388323	0.405754293	0.994061663
PA3472	432.2950588	-0.436383242	0.522869372	-0.834593237	0.403946771	0.994061663
PA0248	181.8267316	-0.434774319	0.496689446	-0.875344388	0.381386549	0.994061663
PA1505	14.96662955	-0.432421356	0.649331701	-0.665948322	0.505444133	0.994061663
PA1761	14.96662955	-0.432421356	0.649331701	-0.665948322	0.505444133	0.994061663
PA2632	14.96662955	-0.432421356	0.649331701	-0.665948322	0.505444133	0.994061663
PA4819	14.96662955	-0.432421356	0.649331701	-0.665948322	0.505444133	0.994061663
PA4485	102.5837734	-0.432281125	0.499551237	-0.865338913	0.386852799	0.994061663
PA0336	23.56353283	-0.432212524	0.61615151	-0.701471175	0.483009017	0.994061663
PA2823	23.56353283	-0.432212524	0.61615151	-0.701471175	0.483009017	0.994061663
PA4922	23.56353283	-0.432212524	0.61615151	-0.701471175	0.483009017	0.994061663
PA3241	510.7362333	-0.431835635	0.535492146	-0.80642758	0.41999635	0.994061663
PA4344	175.679723	-0.431718792	0.496263324	-0.869938944	0.384333772	0.994061663
PA4398	254.9226812	-0.431007892	0.501060674	-0.86019102	0.389683754	0.994061663
PA3734	610.9146555	-0.429390759	0.552586111	-0.777056735	0.437125298	0.994061663
PA1833	40.75733939	-0.429027498	0.564090609	-0.760564864	0.446917013	0.994061663
PA3105	413.6313154	-0.428951112	0.519670681	-0.825428734	0.409128227	0.994061663
PA2441	337.2391438	-0.428527003	0.509716923	-0.840715669	0.400507241	0.994061663
PA3793	49.35424267	-0.427909161	0.545780776	-0.784031207	0.433021799	0.994061663
PA1520	144.1428965	-0.427824183	0.495376812	-0.86363385	0.387789063	0.994061663
PA0762	7.394227693	-0.427384231	0.648415378	-0.65912106	0.509818033	0.994061663
PA3020	382.4953807	-0.427260433	0.51536552	-0.829043497	0.407079795	0.994061663
PA5282	380.4463779	-0.426925286	0.515070533	-0.828867618	0.407179321	0.994061663
PA3258	749.2223482	-0.426705084	0.572715467	-0.745055982	0.456237878	0.994061663
PA3848	142.0938936	-0.426418199	0.495282356	-0.860959802	0.389260183	0.994061663
PA1529	39.73283796	-0.425951468	0.56644219	-0.751976946	0.452064923	0.994061663
PA0178	107.0826709	-0.425650128	0.49810238	-0.854543454	0.392803943	0.994061663
PA1802	13.94212812	-0.424896872	0.652694355	-0.650989041	0.515053561	0.994061663
PA1980	13.94212812	-0.424896872	0.652694355	-0.650989041	0.515053561	0.994061663
PA3591	13.94212812	-0.424896872	0.652694355	-0.650989041	0.515053561	0.994061663
PA4249	13.94212812	-0.424896872	0.652694355	-0.650989041	0.515053561	0.994061663
PA4583	13.94212812	-0.424896872	0.652694355	-0.650989041	0.515053561	0.994061663
PA0305	462.3619485	-0.424098759	0.526671956	-0.805242722	0.420679628	0.994061663
PA0003	65.52354781	-0.423534596	0.521619254	-0.811961202	0.416813895	0.994061663
PA5518	126.3254803	-0.423139632	0.495541493	-0.853893443	0.393164033	0.994061663
PA2449	30.11143326	-0.422754771	0.593223525	-0.712639929	0.476068597	0.994061663
PA3492	30.11143326	-0.422754771	0.593223525	-0.712639929	0.476068597	0.994061663
PA3989	30.11143326	-0.422754771	0.593223525	-0.712639929	0.476068597	0.994061663
PA0778	38.70833654	-0.422736153	0.568863123	-0.743124551	0.457406277	0.994061663
PA0775	55.9021431	-0.422246339	0.534344753	-0.790213315	0.429403201	0.994061663
PA1601	55.9021431	-0.422246339	0.534344753	-0.790213315	0.429403201	0.994061663
PA4684	55.9021431	-0.422246339	0.534344753	-0.790213315	0.429403201	0.994061663
PA1967	334.9674232	-0.421210866	0.508874205	-0.827730826	0.407822957	0.994061663
PA4060	73.09594966	-0.420625169	0.513852123	-0.818572407	0.413030415	0.994061663
PA4497	1825.572456	-0.420381851	0.629384301	-0.667925544	0.504181121	0.994061663
PA4480	54.87764167	-0.419877346	0.535825214	-0.783608786	0.433269699	0.994061663
PA4491	46.28073839	-0.419835873	0.551422176	-0.761369222	0.446436565	0.994061663
PA4689	155.1896945	-0.419664749	0.494838889	-0.848083606	0.396391411	0.994061663
EBG00001435512	5699.16781	-0.418704354	0.657816838	-0.636505984	0.524446682	0.994061663
PA4493	29.08693183	-0.418584741	0.596383937	-0.701871252	0.482759458	0.994061663
PA2567	321.6489046	-0.417957718	0.507034072	-0.824318801	0.409758439	0.994061663
PA3023	80.66835152	-0.417914019	0.507873366	-0.822870518	0.41058163	0.994061663
PA4229	62.45004353	-0.417421277	0.524947605	-0.795167504	0.426516072	0.994061663
PA0270	45.25623696	-0.416922742	0.55342341	-0.753352198	0.4512383	0.994061663
PA4400	330.2458079	-0.416623235	0.507952441	-0.820201266	0.41210138	0.994061663
PA0892	12.91762669	-0.416496508	0.655619675	-0.635271521	0.525251344	0.994061663
PA3865	338.8427112	-0.415323294	0.508895337	-0.816127136	0.414427425	0.994061663
PA2337	70.02244538	-0.415139913	0.516379651	-0.803943208	0.421429775	0.994061663
PA3854	2.494438258	-0.41509942	0.435305879	-0.953581009	0.340295772	0.994061663
PA1854	337.8182098	-0.415071849	0.50875092	-0.815864567	0.414577599	0.994061663
PA5119	221.515026	-0.413188231	0.497021407	-0.831328843	0.405787885	0.994061663
PA4617	466.4154107	-0.412443231	0.526503181	-0.783363227	0.433413844	0.994061663
PA3124	51.80413739	-0.412232787	0.540570941	-0.762587766	0.445709283	0.994061663
PA0754	35.63483225	-0.412165672	0.576552257	-0.714879991	0.474683202	0.994061663
PA3375	35.63483225	-0.412165672	0.576552257	-0.714879991	0.474683202	0.994061663
PA0362	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA0678	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA2174	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA2605	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA2827	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA5417	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA5482	6.369726266	-0.410735647	0.636561522	-0.645241084	0.518770966	0.994061663
PA4406	103.3855571	-0.410520206	0.497868982	-0.824554694	0.409624452	0.994061663
PA5129	19.46552712	-0.410349225	0.631542319	-0.649757289	0.515849012	0.994061663
PA5446	141.8711759	-0.409791204	0.494065701	-0.829426538	0.40686309	0.994061663
PA1853	50.77963596	-0.409490508	0.542258943	-0.755156762	0.450154929	0.994061663
PA1653	102.3610557	-0.409285067	0.498038677	-0.821793741	0.411194297	0.994061663
PA4636	314.2546769	-0.408661242	0.505461895	-0.808490702	0.418808157	0.994061663
PA4779	909.7572675	-0.408646959	0.588306495	-0.694615753	0.487296137	0.994061663
PA5531	74.52134295	-0.407571266	0.511845122	-0.7962785	0.425870179	0.994061663
PA0460	358.8873043	-0.40709231	0.510781449	-0.796999012	0.425451605	0.994061663
PA0517	11.89312527	-0.40705496	0.657901185	-0.618717475	0.536102496	0.994061663
PA2796	424.4108522	-0.406300046	0.519494478	-0.782106574	0.434151943	0.994061663
PA5177	1003.788681	-0.405891358	0.594785585	-0.682416266	0.494975773	0.994061663
PA5372	649.3111872	-0.405848454	0.557309681	-0.728227891	0.466474095	0.994061663
PA2267	185.8801938	-0.405320966	0.494564501	-0.819551272	0.412471962	0.994061663
PA3024	26.01342755	-0.404473986	0.606446653	-0.66695724	0.504799447	0.994061663
PA3369	26.01342755	-0.404473986	0.606446653	-0.66695724	0.504799447	0.994061663
PA2707	33.5858294	-0.404244777	0.582042229	-0.694528262	0.487350984	0.994061663
PA3115	33.5858294	-0.404244777	0.582042229	-0.694528262	0.487350984	0.994061663
PA4584	33.5858294	-0.404244777	0.582042229	-0.694528262	0.487350984	0.994061663
PA1411	41.15823125	-0.403987133	0.562070913	-0.718747623	0.472296435	0.994061663
PA2275	72.4723401	-0.403706578	0.513404949	-0.786331685	0.431673194	0.994061663
PA4295	18.44102569	-0.403686814	0.635519243	-0.635207853	0.525292862	0.994061663
PA5111	18.44102569	-0.403686814	0.635519243	-0.635207853	0.525292862	0.994061663
PA1605	125.0782612	-0.403394176	0.494238057	-0.81619408	0.414389142	0.994061663
PA2821	543.3866483	-0.402323281	0.539231829	-0.746104477	0.455604305	0.994061663
PA0627	2.895330121	-0.401912412	0.501177203	-0.80193674	0.422589552	0.994061663
PA2098	2.895330121	-0.401912412	0.501177203	-0.80193674	0.422589552	0.994061663
PA2570	2.895330121	-0.401912412	0.501177203	-0.80193674	0.422589552	0.994061663
PA0290	260.8024286	-0.40172735	0.49932919	-0.804534078	0.421088596	0.994061663
PA1759	206.5483965	-0.39993615	0.495083811	-0.807815044	0.419197064	0.994061663
PA5527	86.59264238	-0.399559012	0.503262131	-0.793938163	0.427231431	0.994061663
PA5343	24.98892612	-0.399171812	0.60997527	-0.65440655	0.512849915	0.994061663
PA4467	1040.403471	-0.398846406	0.596757081	-0.668356387	0.503906128	0.994061663
PA2191	61.82643396	-0.397765074	0.524677532	-0.758113412	0.448383091	0.994061663
PA4876	61.82643396	-0.397765074	0.524677532	-0.758113412	0.448383091	0.994061663
PA3959	128.5526574	-0.397669445	0.493617408	-0.805622813	0.420460367	0.994061663
PA2502	230.2901034	-0.396921851	0.496422871	-0.79956399	0.423963458	0.994061663
PA4023	93.14054281	-0.3968023	0.500144261	-0.793375692	0.427558969	0.994061663
PA0080	10.86862384	-0.396360636	0.659247245	-0.601232147	0.547685376	0.994061663
PA3412	10.86862384	-0.396360636	0.659247245	-0.601232147	0.547685376	0.994061663
PA1812	31.53682655	-0.395482219	0.587861621	-0.67274713	0.501108178	0.994061663
PA1649	53.22953068	-0.394904803	0.537277728	-0.735010559	0.462333064	0.994061663
PA3301	45.65712883	-0.394086072	0.551559708	-0.714493946	0.474921798	0.994061663
PA3112	23.96442469	-0.393482711	0.613622597	-0.64124547	0.521363212	0.994061663
PA4798	1260.626735	-0.393000262	0.608425813	-0.645929633	0.518324928	0.994061663
PA2651	98.66394181	-0.392773083	0.497981654	-0.788730026	0.430269815	0.994061663
PA2290	59.77743111	-0.392678741	0.527150174	-0.744908681	0.456326927	0.994061663
PA5246	933.1871697	-0.39212417	0.589336589	-0.665365391	0.505816816	0.994061663
PA0314	52.20502925	-0.391934244	0.538892067	-0.72729637	0.467044421	0.994061663
PA4680	30.51232512	-0.390737364	0.590906782	-0.661250431	0.508451725	0.994061663
PA1107	293.9428226	-0.390224701	0.501827019	-0.777607993	0.436800147	0.994061663
PA2312	58.75292968	-0.390006033	0.52845247	-0.738015346	0.460505124	0.994061663
PA0922.1	5.345224838	-0.389844831	0.617074985	-0.631762493	0.527542086	0.994061663
PA1957	5.345224838	-0.389844831	0.617074985	-0.631762493	0.527542086	0.994061663
PA3807	5.345224838	-0.389844831	0.617074985	-0.631762493	0.527542086	0.994061663
PA4261	5.345224838	-0.389844831	0.617074985	-0.631762493	0.527542086	0.994061663
PA3965	37.06022555	-0.388609017	0.571811353	-0.679610531	0.4967511	0.994061663
PA2158	16.39202284	-0.388452559	0.643413207	-0.60373731	0.546018304	0.994061663
PA2428	16.39202284	-0.388452559	0.643413207	-0.60373731	0.546018304	0.994061663
PA4537	16.39202284	-0.388452559	0.643413207	-0.60373731	0.546018304	0.994061663
PA2968	22.93992326	-0.387390106	0.617363808	-0.627490794	0.530337569	0.994061663
PA3582	22.93992326	-0.387390106	0.617363808	-0.627490794	0.530337569	0.994061663
PA2204	57.72842825	-0.387241787	0.52980036	-0.730920203	0.464827895	0.994061663
PA0793	43.60812597	-0.387015255	0.555709679	-0.696434252	0.486156919	0.994061663
PA5333	1803.033425	-0.386256927	0.627730258	-0.615323099	0.538341366	0.994061663
EBG00001435446	125.8800449	-0.385599396	0.492959117	-0.782213743	0.434088969	0.994061663
PA5242	1223.655596	-0.385367172	0.606323195	-0.635580454	0.525049912	0.994061663
PA4324	570.9590998	-0.385071458	0.54298378	-0.709176724	0.478214816	0.994061663
PA5477	657.5962857	-0.384810534	0.557369666	-0.690404515	0.489939838	0.994061663
PA2031	36.03572412	-0.384308718	0.574426195	-0.669030628	0.503475941	0.994061663
PA5095	36.03572412	-0.384308718	0.574426195	-0.669030628	0.503475941	0.994061663
PA0628	9.84412241	-0.384140491	0.659239458	-0.582702516	0.560093579	0.994061663
PA1230	9.84412241	-0.384140491	0.659239458	-0.582702516	0.560093579	0.994061663
PA2270	9.84412241	-0.384140491	0.659239458	-0.582702516	0.560093579	0.994061663
PA0308	689.1331123	-0.383425913	0.562061711	-0.682177606	0.495126653	0.994061663
PA2744	69.79972768	-0.381885075	0.51472338	-0.741922923	0.458134036	0.994061663
PA1959	21.91542184	-0.380849265	0.621193342	-0.613092961	0.539814874	0.994061663
PA1075	76.34762811	-0.380620947	0.508790225	-0.748090133	0.454405793	0.994061663
PA4712	244.5885799	-0.380069448	0.496316443	-0.765780488	0.443806926	0.994061663
PA0725	15.36752141	-0.379688453	0.64721663	-0.586648173	0.557440022	0.994061663
PA2237	15.36752141	-0.379688453	0.64721663	-0.586648173	0.557440022	0.994061663
PA2396	15.36752141	-0.379688453	0.64721663	-0.586648173	0.557440022	0.994061663
PA3800	15.36752141	-0.379688453	0.64721663	-0.586648173	0.557440022	0.994061663
PA4608	411.6268561	-0.379036113	0.515804108	-0.734845083	0.462433847	0.994061663
PA0085	54.65492397	-0.378356413	0.534130783	-0.708359122	0.478722271	0.994061663
PA3691	54.65492397	-0.378356413	0.534130783	-0.708359122	0.478722271	0.994061663
PA5002	54.65492397	-0.378356413	0.534130783	-0.708359122	0.478722271	0.994061663
PA4579	576.660673	-0.378018449	0.543547058	-0.69546591	0.486763368	0.994061663
PA2247	61.2028244	-0.3777244	0.524462361	-0.720212598	0.471394109	0.994061663
PA3575	103.5637312	-0.376911273	0.495632355	-0.760465432	0.446976424	0.994061663
EBG00001435471	1228.065407	-0.376599781	0.606196982	-0.621249845	0.534435248	0.994061663
PA0550	1948.378997	-0.376333501	0.631091125	-0.596321966	0.550960159	0.994061663
PA4184	88.41892753	-0.376143388	0.500925291	-0.750897179	0.452714538	0.994061663
PA3987	53.63042254	-0.375181264	0.535674314	-0.70039062	0.483683393	0.994061663
PA1589	60.17832297	-0.374885168	0.525703746	-0.713111084	0.475777021	0.994061663
PA1799	27.43882084	-0.37480076	0.600596057	-0.624047987	0.532596071	0.994061663
PA3703	27.43882084	-0.37480076	0.600596057	-0.624047987	0.532596071	0.994061663
PA4329	66.7262234	-0.374431456	0.517571362	-0.723439286	0.469410042	0.994061663
PA5231	192.3835506	-0.372822899	0.492472794	-0.757042629	0.449024324	0.994061663
PA0026	59.15382154	-0.371951156	0.526989362	-0.705803917	0.480310086	0.994061663
PA4500	72.2496224	-0.371450859	0.511802866	-0.7257694	0.467980149	0.994061663
PA3264	114.6105292	-0.371440157	0.493190391	-0.753137458	0.451367317	0.994061663
PA3857	32.96221984	-0.370122809	0.582699478	-0.635186443	0.525306824	0.994061663
PA2142	8.819620983	-0.370036196	0.657267422	-0.562991841	0.57344044	0.994061663
PA4419	8.819620983	-0.370036196	0.657267422	-0.562991841	0.57344044	0.994061663
PA1682	14.34301998	-0.370002309	0.650807689	-0.56852787	0.569676587	0.994061663
PA2747	14.34301998	-0.370002309	0.650807689	-0.56852787	0.569676587	0.994061663
PA3578	14.34301998	-0.370002309	0.650807689	-0.56852787	0.569676587	0.994061663
PA2550	135.2787319	-0.3694935	0.491411307	-0.751902723	0.45210956	0.994061663
PA0232	26.41431941	-0.36881884	0.604031876	-0.610594994	0.541467738	0.994061663
PA3382	26.41431941	-0.36881884	0.604031876	-0.610594994	0.541467738	0.994061663
PA4146	26.41431941	-0.36881884	0.604031876	-0.610594994	0.541467738	0.994061663
PA1473	51.58141969	-0.368479105	0.538919957	-0.68373624	0.494141735	0.994061663
PA3236	51.58141969	-0.368479105	0.538919957	-0.68373624	0.494141735	0.994061663
PA3340	330.7357869	-0.368032844	0.504477698	-0.729532436	0.465676034	0.994061663
PA3404	171.0917384	-0.367819649	0.491471884	-0.748404254	0.454216357	0.994061663
PA4201	371.6713004	-0.366966654	0.509587956	-0.720124269	0.471448486	0.994061663
PA2838	147.3500314	-0.366428273	0.491018477	-0.746261678	0.455509356	0.994061663
PA3798	19.86641898	-0.366208853	0.629077072	-0.582136703	0.560474604	0.994061663
PA3852	19.86641898	-0.366208853	0.629077072	-0.582136703	0.560474604	0.994061663
PA4568	19.86641898	-0.366208853	0.629077072	-0.582136703	0.560474604	0.994061663
PA2006	57.10481869	-0.365781424	0.529698432	-0.690546549	0.489850547	0.994061663
PA2082	161.4703337	-0.365770094	0.491116395	-0.744772722	0.456409128	0.994061663
PA5273	2357.466871	-0.36560625	0.63880067	-0.57233229	0.567096878	0.994061663
PA4202	50.55691826	-0.364940236	0.540625001	-0.675033962	0.499654188	0.994061663
PA3897	249.2656516	-0.363912372	0.495570485	-0.734330197	0.462747518	0.994061663
PA0733	44.00901783	-0.363653977	0.553871294	-0.656567655	0.511458952	0.994061663
PA0740	95.36771982	-0.363384731	0.497258782	-0.730775894	0.46491605	0.994061663
EBG00001435475	4.320723411	-0.363287103	0.586047279	-0.619893848	0.535327677	0.994061663
PA2697	4.320723411	-0.363287103	0.586047279	-0.619893848	0.535327677	0.994061663
PA4255	4.320723411	-0.363287103	0.586047279	-0.619893848	0.535327677	0.994061663
PA5310	577.818805	-0.36293707	0.542849029	-0.668578281	0.503764531	0.994061663
PA3012	56.08031726	-0.362536379	0.531124483	-0.682582691	0.494870575	0.994061663
PA4000	25.38981798	-0.362451577	0.607568843	-0.596560507	0.550800845	0.994061663
PA1225	37.46111741	-0.361827064	0.569784342	-0.635024582	0.525412382	0.994061663
PA2626	37.46111741	-0.361827064	0.569784342	-0.635024582	0.525412382	0.994061663
PA3008	1396.70725	-0.361752317	0.613308921	-0.589837038	0.555299909	0.994061663
PA1536	275.4572533	-0.361199201	0.497832573	-0.725543527	0.468118652	0.994061663
PA4457	61.60371626	-0.360376975	0.523079873	-0.688952095	0.490853414	0.994061663
PA2915	198.7087334	-0.359899034	0.491856402	-0.731715665	0.464342133	0.994061663
PA2258	30.91321698	-0.359375886	0.588657917	-0.610500387	0.541530387	0.994061663
EBG00001435507	13.31851856	-0.359281387	0.654044943	-0.54932217	0.582784376	0.994061663
PA1591	474.6114221	-0.358910635	0.524305799	-0.684544469	0.493631419	0.994061663
PA1013	67.12711526	-0.358395496	0.516307179	-0.69415168	0.487587091	0.994061663
PA0316	398.6646859	-0.358291825	0.512627042	-0.698932744	0.484594063	0.994061663
PA0582	18.84191755	-0.357980549	0.633097948	-0.565442599	0.571772757	0.994061663
PA2586	18.84191755	-0.357980549	0.633097948	-0.565442599	0.571772757	0.994061663
PA3373	18.84191755	-0.357980549	0.633097948	-0.565442599	0.571772757	0.994061663
PA4516	85.74631511	-0.357540638	0.501224681	-0.713334063	0.475639064	0.994061663
PA3884	24.36531655	-0.355660453	0.611206576	-0.58189893	0.560634761	0.994061663
PA4666	24.36531655	-0.355660453	0.611206576	-0.58189893	0.560634761	0.994061663
PA4108	144.677419	-0.355376383	0.490304923	-0.724806884	0.468570512	0.994061663
PA3206	479.5112115	-0.355352111	0.524927524	-0.676954617	0.498434749	0.994061663
PA0568	186.0138244	-0.355113813	0.491027405	-0.72320569	0.469553523	0.994061663
PA0168	41.96001498	-0.355058843	0.558247084	-0.636024537	0.524760429	0.994061663
PA1616	7.795119556	-0.353568485	0.652422545	-0.54193174	0.58786553	0.994061663
PA2137	7.795119556	-0.353568485	0.652422545	-0.54193174	0.58786553	0.994061663
PA2405	7.795119556	-0.353568485	0.652422545	-0.54193174	0.58786553	0.994061663
PA3982	7.795119556	-0.353568485	0.652422545	-0.54193174	0.58786553	0.994061663
PA5144	7.795119556	-0.353568485	0.652422545	-0.54193174	0.58786553	0.994061663
EBG00001435436	136.0805157	-0.353182508	0.490327805	-0.720298756	0.47134107	0.994061663
PA5005	83.69731226	-0.353119366	0.502150733	-0.703213881	0.48192247	0.994061663
PA1727	53.00681298	-0.352098082	0.535705227	-0.657260866	0.511013195	0.994061663
PA4760	53.00681298	-0.352098082	0.535705227	-0.657260866	0.511013195	0.994061663
PA0711	35.41211455	-0.351826165	0.575029113	-0.611840613	0.540643216	0.994061663
PA0818	40.93551355	-0.350482916	0.560536919	-0.625262858	0.531798553	0.994061663
PA5556	46.45891255	-0.349374454	0.548028665	-0.637511277	0.523791867	0.994061663
