 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilH_fliC-_sol_Gasket_1_event10_tirf_RAW_Stack.tif,543,255,255,255,17.89779,35.277159999999995,1,617,470.4376,290260.0,205,872,119.35163999999999,257.77946000000003,269.65238999999997,112,442.11607000000004,49517.0,236,587,100.4226,0,0,271.02166,309.41411,112,528.22321,59161.0,205,872,191.05325,0,0,1.05006,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event11_tirf_RAW_Stack.tif,2120,255,255,255,45.87547,83.92971999999999,1,2353,350.15215,823908.0,127,574,87.2694,447.9808,195.37564,137,334.78102,45865.0,79,549,133.37268999999998,5,0,377.55129,334.38716,137,349.40876000000003,47869.0,129,574,126.95433999999999,8,0,0.97404,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event13_tirf_RAW_Stack.tif,788,255,255,255,48.53046,15.15102,1,878,415.38723999999996,364710.0,215,679,91.34822,276.61064,198.45106,156,390.6859,60947.0,183,524,97.42019,5,0,221.50835,187.92976000000002,156,391.74359,61112.0,137,679,145.45793999999998,7,0,0.91254,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event16_tirf_RAW_Stack.tif,616,255,255,255,14.47727,39.20617,1,691,425.13025,293765.0,188,742,100.20271,307.89664,277.08867999999995,137,403.0438,55217.0,163,572,123.03705,4,0,295.48177000000004,319.73098999999996,137,444.9562,60959.0,195,742,148.90946,5,0,0.9956,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event18_tirf_RAW_Stack.tif,1267,255,255,255,36.7352,59.88358,1,1413,405.5322,573017.0,195,589,90.49516,323.73031000000003,299.11455,156,371.55769,57963.0,163,589,119.46441000000002,8,0,279.25905,218.89135,156,374.62179,58441.0,180,555,109.02538,1,0,0.89961,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event20_tirf_RAW_Stack.tif,842,255,255,255,26.11995,50.3753,1,952,379.96112999999997,361723.0,165,527,87.01523,285.73266,377.37393,137,321.78832,44085.0,153,477,94.01411,6,0,313.51748,316.74082999999996,137,359.81022,49294.0,180,527,106.50998,4,0,0.8610700000000001,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event2_tirf_RAW_Stack.tif,845,255,255,255,36.5355,30.397040000000004,1,952,369.00735,351295.0,142,541,95.75846,241.20071000000002,289.04151,137,293.11679,40157.0,114,501,114.71878000000001,0,0,190.48871,323.9601,137,297.9635,40821.0,167,414,66.34662,9,0,0.74126,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event3_tirf_RAW_Stack.tif,946,255,255,255,52.86258,36.09937,1,1054,260.87192000000005,274959.0,125,393,61.55904,243.85427,238.0342,177,193.68362,34282.0,125,281,43.40705,0,0,290.18847999999997,198.18163,177,251.9435,44594.0,68,391,88.1412,6,0,0.79543,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event4_tirf_RAW_Stack.tif,502,255,255,255,30.79482,17.57171,1,565,328.81239,185779.0,161,452,70.98781,177.25211000000002,296.3395,112,290.72321,32561.0,99,426,81.76523,0,0,144.72693,286.7314,112,298.78571,33464.0,137,402,75.33341999999999,6,0,0.83931,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event5_tirf_RAW_Stack.tif,377,255,255,255,16.8687,22.68833,1,432,405.65741,175244.0,202,749,115.68446000000002,200.04658,273.02582,112,332.13392999999996,37199.0,121,466,98.68053,0,0,188.96481,249.44102,112,476.28570999999994,53344.0,189,749,163.81595,3,0,0.9926200000000001,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event6_tirf_RAW_Stack.tif,481,255,255,255,12.94283,26.946990000000003,1,548,556.61679,305026.0,300,1006,151.52308,274.12475,266.79882000000003,69,394.57971000000003,27226.0,311,466,42.58915,0,0,265.81042,225.21416000000002,69,730.42029,50399.0,353,1006,201.70125,10,0,1.0141799999999999,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event7_tirf_RAW_Stack.tif,658,255,255,255,11.78116,40.563829999999996,1,740,348.42027,257831.0,168,530,78.54515,180.95401,162.50856000000002,112,297.83036,33357.0,131,402,74.24271,2,0,172.68287,109.54831000000001,112,301.79464,33801.0,98,469,103.72183000000001,0,0,0.81135,mNG_pilH_fliC-,Solid
2,mNG_pilH_fliC-_sol_Gasket_1_event7_tirf_RAW_Stack.tif,526,255,255,255,63.70531999999999,20.82319,1,596,345.73658,206059.0,161,666,109.46014,273.23332,393.71396,137,240.49635,32948.0,143,327,49.45648,0,0,304.04122,372.6873,137,393.0219,53844.0,123,666,168.77759,4,0,0.85519,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event8_tirf_RAW_Stack.tif,744,255,255,255,39.84677,34.10753,1,839,231.37187000000003,194121.0,104,385,65.48439,266.93023,402.01756,137,170.55473999999998,23366.0,93,231,37.768440000000005,0,0,223.67879,430.90247999999997,137,247.32117000000002,33883.0,106,370,73.18097,2,0,0.8624799999999999,mNG_pilH_fliC-,Solid
2,mNG_pilH_fliC-_sol_Gasket_1_event8_tirf_RAW_Stack.tif,858,255,255,255,40.83683,27.23893,1,964,341.62863,329330.0,185,469,70.84170999999999,300.59796,145.9461,156,306.47436,47810.0,145,443,85.37163000000001,5,0,353.68599,175.34628999999998,156,331.77564,51757.0,191,430,70.54942,2,0,0.9055799999999999,mNG_pilH_fliC-,Solid
1,mNG_pilH_fliC-_sol_Gasket_1_event9_tirf_RAW_Stack.tif,916,255,255,255,45.08079,18.1059,1,1019,383.95583999999997,391251.0,199,545,84.50545,268.62874,281.9612,156,336.52564,52498.0,201,437,69.34193,1,0,206.46365,263.72364,156,395.80127999999996,61745.0,180,543,108.89796000000001,6,0,0.93455,mNG_pilH_fliC-,Solid
