TotalPili,bootMean,bootMedian,IC_mean,IC_median
0.0,312728.6004,272299.5,[222627.7075 424199.16  ],[204926.5 417026.5]
1.0,641733.1192222224,444462.0,[433342.08333333 941944.02638889],[351277. 680282.]
2.0,612262.4384210526,458015.0,[429373.22236842 851528.56842105],[304316. 732782.]
3.0,557199.4682083334,425175.0,[408840.89479167 752292.67708333],[329775. 658045.]
4.0,772497.1454375,594554.5,[ 544036.0890625 1027468.3515625],[ 350062. 1135922.]
5.0,982499.3863076923,852350.0,[ 628881.65       1390257.91538462],[ 448312. 1122668.]
6.0,1115708.971,934219.0,[ 858285.23863636 1499258.75227273],[ 777199. 1136354.]
