 ,Label,Angle,Median,Slice,Length
1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-7.319019,0.027197,1,0.003883
2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-8.481606,0.000692,1,0.004073
3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-11.309932,0.037064,1,0.003964
4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-10.830080,-0.068289,1,0.004137
5,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-10.474235,0.026279,1,0.004276
6,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-8.852004,0.005637,1,0.004363
7,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-10.491477,0.061040,1,0.003881
8,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,0.000000,-0.001804,3,0.004028
9,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,0.540510,-0.007266,3,0.003745
10,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,0.954841,0.041947,3,0.004241
11,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-0.498212,-0.037726,3,0.004063
12,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-0.498212,0.105383,3,0.004063
13,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,-0.971022,0.066427,3,0.004170
14,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.000000,-0.099198,5,0.004063
15,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,179.483836,-0.082893,5,0.003922
16,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,-0.502582,0.037927,5,0.004028
17,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.000000,-0.093635,5,0.004275
18,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.000000,0.014330,5,0.003922
19,run_it025_classes.mrcs:z:5/30 - run_it025_classes.mrcs,0.000000,0.043996,5,0.004205
20,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.000000,-0.068670,7,0.004099
21,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.996348,-0.070743,7,0.004064
22,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.000000,0.117849,7,0.004134
23,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,0.000000,0.145128,7,0.004099
24,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,1.023030,-0.036980,7,0.003958
25,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,1.992094,-0.009090,7,0.004066
26,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.746162,0.010877,8,0.004183
27,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.275893,-0.052894,8,0.003928
28,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.408912,0.052888,8,0.004107
29,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.130102,0.062406,8,0.003998
30,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-8.337444,-0.046327,8,0.004142
31,run_it025_classes.mrcs:z:8/30 - run_it025_classes.mrcs,-7.765166,0.126734,8,0.003923
32,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,8.820380,0.111477,9,0.004148
33,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,9.130176,0.080175,9,0.004008
34,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,7.920740,-0.054660,9,0.004102
35,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,8.945382,0.070960,9,0.003863
36,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,9.782407,-0.073008,9,0.004159
37,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,8.895857,-0.066302,9,0.004113
38,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.742988,-0.051950,11,0.003789
39,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-2.960936,-0.048028,11,0.004104
40,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-2.986637,0.064695,11,0.004069
41,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.608469,-0.039046,11,0.003930
42,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.150716,0.096471,11,0.003857
43,run_it025_classes.mrcs:z:11/30 - run_it025_classes.mrcs,-3.544766,-0.068514,11,0.004000
44,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-2.556150,-0.050628,12,0.003961
45,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,0.000000,0.134122,12,0.003993
46,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-1.548158,-0.078978,12,0.003923
47,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-0.507029,0.009739,12,0.003993
48,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,0.000000,0.031188,12,0.003993
49,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,0.000000,0.137485,12,0.004099
50,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,1.468801,-0.120460,19,0.004135
51,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.996348,0.163638,19,0.004064
52,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.511556,-0.095062,19,0.003957
53,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.493917,-0.033868,19,0.004099
54,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.979320,0.140390,19,0.004135
55,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.498212,-0.115183,19,0.004063
56,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.023030,-0.076061,20,0.003958
57,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.000000,-0.035331,20,0.003851
58,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.000000,0.122147,20,0.003816
59,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.005086,-0.038942,20,0.004029
60,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.494334,-0.001874,20,0.004065
61,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-0.996348,0.105952,20,0.004064
62,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.005086,-0.041539,21,0.004029
63,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-2.675427,-0.042739,21,0.003785
64,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.992094,0.096839,21,0.004066
65,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.012788,0.013360,21,0.004034
66,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.012788,0.032164,21,0.004034
67,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.483271,0.097650,21,0.004071
68,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,7.989327,-0.067398,22,0.004067
69,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.559947,-0.125854,22,0.004012
70,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,8.337444,0.019217,22,0.004142
71,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.758260,0.047940,22,0.004226
72,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,6.394398,0.091094,22,0.004124
73,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.710593,0.055142,22,0.004261
74,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.507436,-0.059493,23,0.004029
75,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.374835,-0.108574,23,0.004418
76,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.005086,0.001046,23,0.004029
77,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.005086,0.011197,23,0.004029
78,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.032245,0.089152,23,0.003923
79,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-0.493917,-0.007554,23,0.004099
80,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.481457,-0.056625,25,0.004100
81,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.544766,-0.035461,25,0.004000
82,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.878525,0.026723,25,0.004179
83,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.366461,0.060066,25,0.004212
84,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.979382,-0.048423,25,0.004073
85,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,4.553768,-0.003092,25,0.004005
86,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.468801,-0.028892,26,0.004135
87,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.987760,0.090403,26,0.004099
88,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-178.505666,0.140319,26,0.004065
89,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.958067,0.032750,26,0.004136
90,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.005086,-0.024586,26,0.004029
91,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.502582,0.110864,26,0.004028
92,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.962864,-0.085400,28,0.004205
93,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.996348,-0.082765,28,0.004064
94,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-1.005086,0.009901,28,0.004029
95,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,0.525635,0.169752,28,0.003851
96,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-1.494334,0.142130,28,0.004065
97,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.996348,0.113889,28,0.004064
