Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep,MSD,RMSD,PaqaTotalFluorescence,rfpTotalFluorescence,PaQa_RFP_ratio
Track_7890,934,44,3,2,0,0,0,47,61,108,6.4879999999999995,934,125.066,210.18599999999998,0,0.905,2.494,0.09,0.77,0.56,6.843,12.753,2.641,6.379,2.553,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7892,936,42,4,2,0,0,0,46,61,107,2.185,936,163.054,31.996,0,0.9209999999999999,2.316,0.09300000000000001,0.9059999999999999,0.5589999999999999,5.312,9.064,2.659,5.395,1.7690000000000001,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7893,937,46,2,1,0,0,0,47,62,109,3.4789999999999996,937,190.878,14.097000000000001,0,0.711,1.4380000000000002,0.127,0.6859999999999999,0.34299999999999997,7.023,10.380999999999998,2.7439999999999998,7.106,2.005,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7899,943,63,5,2,0,0,0,69,62,131,2.443,943,128.92600000000002,117.04899999999999,0,0.768,3.195,0.076,0.584,0.5770000000000001,8.451,15.243,2.434,8.324,2.88,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7931,975,176,7,1,0,0,0,182,65,247,1.5419999999999998,975,50.483999999999995,75.86399999999998,0,0.508,2.06,0.009000000000000001,0.401,0.3720000000000001,10.507,16.345,2.7439999999999998,11.519,2.65,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7934,978,81,5,2,0,0,0,87,65,152,5.3,978,2.801,121.514,0,0.583,1.6869999999999998,0.0,0.44799999999999995,0.435,8.991,14.623,1.815,9.674,2.95,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7939,983,131,6,2,0,0,0,137,65,202,19.77,983,31.998,66.378,0,0.728,2.3080000000000003,0.08199999999999999,0.5820000000000001,0.518,7.734,23.89,1.145,7.537000000000001,2.772,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7966,1010,43,3,2,0,0,0,46,67,113,7.176,1010,106.014,177.285,0,0.8809999999999999,2.513,1.343e-07,0.862,0.565,6.934,17.963,2.7119999999999997,6.035,3.267,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7968,1012,62,6,2,0,0,0,68,68,136,6.662000000000001,1012,196.399,100.31200000000001,0,0.797,2.26,3.705e-07,0.67,0.534,5.58,11.009,2.7439999999999998,5.8260000000000005,2.096,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7982,1026,44,6,2,0,0,0,50,68,118,15.437999999999999,1026,74.887,65.289,0,1.07,2.7689999999999997,0.135,0.9840000000000001,0.65,8.533999999999999,23.754,2.437,8.617,4.146,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7983,1027,44,3,3,0,0,0,50,68,118,4.5569999999999995,1027,22.862,96.605,0,0.78,2.332,0.047,0.664,0.506,7.407,12.508,1.3230000000000002,7.106,3.188,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7984,1028,77,6,2,0,0,0,83,68,151,4.2360000000000015,1028,201.88299999999998,210.062,0,0.7859999999999999,2.322,2.149e-08,0.759,0.46,7.311,12.370999999999999,2.7439999999999998,7.577000000000001,3.089,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7989,1033,46,3,3,0,0,0,51,69,120,4.235,1033,156.655,21.138,0,0.6809999999999999,2.116,0.005,0.619,0.465,6.65,12.472999999999999,2.7439999999999998,6.822,2.5980000000000003,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7990,1034,124,4,3,0,0,0,129,69,198,12.572000000000001,1034,77.262,121.693,0,0.7090000000000001,2.437,0.027999999999999997,0.609,0.518,6.945,11.936,2.7430000000000003,6.9639999999999995,1.959,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
Track_7999,1043,38,4,2,0,0,0,43,70,113,4.311,1043,51.08600000000001,135.779,0,0.674,1.633,0.155,0.5760000000000001,0.406,5.207000000000002,10.405999999999999,1.881,5.632999999999999,2.485,pilH-fliC-,PaQa,3,1,0.0,0.0,nan,nan,nan
