TimePoint,meanMSD,medianMSD,medianMSD_sem,meanRMSD,medianRMSD,medianRMSD_sem,meanSpeed,medianSpeed,medianSpeed_sem,TeckRep,Strain,IC_meanMSD,IC_medianMSD,IC_meanRMSD,IC_medianRMSD,IC_meanSpeed,IC_medianSpeed
1.0,0.2784213353057872,0.2153527625322576,0.0007182490564091376,4.222153850814159,3.39042217882249,0.006530759941215945,0.47235090480911834,0.463,0.0011426867202740613,1.0,fliC-,[0.24337477 0.31909178],[0.16599815 0.25181641],[3.83952039 4.6596584 ],[2.95380716 3.72706685],[0.44417908 0.50180213],[0.413 0.534]
2.0,0.31029587742667675,0.26849049709246525,0.0007263094598665413,4.3654128845503966,3.981239807824618,0.008681369802386624,0.5322326467237797,0.595,0.0011588809930946993,1.0,fliC-,[0.2798114 0.3416582],[0.22576583 0.30815794],[3.98580662 4.75286828],[3.4784277 4.4644133],[0.498746   0.56711766],[0.507 0.639]
3.0,0.42089489929383356,0.41500532546351854,0.00037253043325625123,6.674365589024937,5.959332927516995,0.0059092243788006985,0.6712831899641578,0.73,0.0002695840004215447,1.0,fliC-,[0.4000934 0.441438 ],[0.38772309 0.4336766 ],[6.35245482 6.99169354],[5.6885676  6.49525602],[0.65355533 0.68885251],[0.715 0.746]
0.0,0.06828134268342298,0.01782340817638917,5.204854050101641e-05,1.6871461426466585,0.789214949927438,0.0015932289112386203,0.17062470103092783,0.1,0.00013961347238598313,3.0,fliC-,[0.05860182 0.07872908],[0.01512125 0.0214126 ],[1.51114465 1.86962497],[0.68754205 0.8801566 ],[0.1565134  0.18418252],[0.0925    0.1105125]
1.0,,,,,,,,,,3.0,fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,3.0,fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
3.0,0.6609178943461411,0.6316915248923488,0.0005061140518340364,7.9050522016572575,6.846091469867517,0.011970357665364502,0.9200607987012988,0.96,0.0004834708005816022,3.0,fliC-,[0.61877485 0.70522788],[0.5972258  0.66001443],[7.31749552 8.57844219],[6.16960636 7.48811359],[0.88481023 0.95514334],[0.928975 0.9945  ]
0.0,0.09353388323710454,0.05503579779691485,0.0001241733053028355,2.146355799510749,1.2882009907421392,0.0033662175669002216,0.2301674,0.16899999999999998,0.00027189649768883664,2.0,fliC-,[0.082807   0.10466371],[0.04793274 0.06408914],[1.92807398 2.37859564],[1.03768707 1.45319199],[0.21297453 0.24676052],[0.161 0.188]
1.0,,,,,,,,,,2.0,fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
2.0,,,,,,,,,,2.0,fliC-,[nan nan],[nan nan],[nan nan],[nan nan],[nan nan],[nan nan]
