TotalPili,bootMean,bootMedian,IC_mean,IC_median
0.0,313509.3951,272299.5,[221710.055 422228.665],[196556.5    395239.4875]
1.0,645751.2125555556,444462.0,[437465.67361111 933463.16805556],[347440. 680282.]
2.0,613865.5425263157,458015.0,[423372.20263158 859071.98815789],[304316. 732782.]
3.0,554885.5557916666,425175.0,[417195.78125    748939.68541667],[344902. 658045.]
4.0,766550.6955625,594554.5,[ 531914.9890625 1038385.2734375],[ 350062. 1135922.]
5.0,992830.8426153846,852350.0,[ 644659.22115385 1410448.54423077],[ 448312. 1122668.]
6.0,1109486.4596363637,934219.0,[ 852822.32954545 1511182.64772727],[ 777199. 1136354.]
