Frame,CellID,Area,CellLength,CellSinuosity,ConnectedWith,MaxCellIntensity_mNeonGreen,MeanCellIntensity_mNeonGreen,MedianCellIntensity_mNeonGreen,MinCellIntensity_mNeonGreen,Strain,Growth,Bio_Rep
1,1,2.3322,3.1668877078629905,1.05691446204153,,152,52.0271739130435,51.0,2,mNG_pilT_cyaB-,Solid,1
1,2,1.9604,2.6380142312685,1.03927111196983,,132,62.2844827586207,59.0,0,mNG_pilT_cyaB-,Solid,1
1,3,3.468725,4.74579256507328,1.08098023814786,,119,48.5432399512789,47.0,0,mNG_pilT_cyaB-,Solid,1
1,4,3.046225,4.68881158941724,1.04369067818101,,151,72.04438280166441,71.0,0,mNG_pilT_cyaB-,Solid,1
1,5,2.285725,3.25079256507328,1.05458398895247,,165,59.454713493530505,59.0,1,mNG_pilT_cyaB-,Solid,1
1,6,3.172975,4.12654328932551,1.03574405987365,,137,63.2649800266312,62.0,0,mNG_pilT_cyaB-,Solid,1
1,7,2.1632,2.97650711563425,1.0719194075423901,,158,72.02734375,73.0,10,mNG_pilT_cyaB-,Solid,1
1,8,2.1632,2.9903653389480196,1.0407552584752,,169,56.435546875,53.0,5,mNG_pilT_cyaB-,Solid,1
1,9,5.429125,7.57695526217004,1.0823117459700502,,237,61.4575875486381,60.0,0,mNG_pilT_cyaB-,Solid,1
1,10,1.8759,2.59808657865102,1.08028547968857,,156,56.8783783783784,55.0,5,mNG_pilT_cyaB-,Solid,1
1,11,2.42515,3.44031870505149,1.0748044320035401,,214,86.3954703832753,85.0,5,mNG_pilT_cyaB-,Solid,1
1,13,2.235025,3.4138220496225093,1.07724114201123,,132,62.7958412098299,61.0,6,mNG_pilT_cyaB-,Solid,1
1,14,2.099825,3.73462986797652,1.0811896094670999,,169,64.18511066398389,62.0,13,mNG_pilT_cyaB-,Solid,1
1,15,2.133625,2.85346717087976,1.0554471029397,,143,62.695049504950504,60.0,11,mNG_pilT_cyaB-,Solid,1
1,16,2.1801,3.27962986797652,1.0823846213519699,,133,51.0581395348837,49.0,0,mNG_pilT_cyaB-,Solid,1
1,17,2.260375,3.03497428651401,1.1278108035569399,,136,51.1775700934579,49.0,1,mNG_pilT_cyaB-,Solid,1
1,18,2.8392,4.18039105243401,1.04925960953997,,162,51.199404761904795,50.0,0,mNG_pilT_cyaB-,Solid,1
1,19,3.274375,4.50262317883449,1.09078243305811,,204,56.1509677419355,54.0,6,mNG_pilT_cyaB-,Solid,1
1,20,1.9942,2.98069929728024,1.0734291236934699,,171,65.8241525423729,65.0,0,mNG_pilT_cyaB-,Solid,1
1,21,2.56035,3.6138686835190295,1.06604259790424,,238,68.0181518151815,66.0,5,mNG_pilT_cyaB-,Solid,1
1,22,5.015075,7.363477631085019,1.05984293919473,,163,53.71609098567821,51.0,0,mNG_pilT_cyaB-,Solid,1
1,23,3.21945,4.617705986422269,1.07282311451841,,133,65.4107611548556,64.5,0,mNG_pilT_cyaB-,Solid,1
1,25,3.18565,4.77228922050227,1.07923674655925,,153,68.2679045092838,65.0,8,mNG_pilT_cyaB-,Solid,1
1,26,2.13785,2.9815537495307702,1.09059968982933,,175,51.503952569169996,49.0,2,mNG_pilT_cyaB-,Solid,1
1,27,2.4167,3.3307097574855,1.04947067358321,,91,39.1835664335664,39.0,0,mNG_pilT_cyaB-,Solid,1
1,28,2.530775,3.254557520594,1.0372910589248399,,146,77.3005008347245,76.0,5,mNG_pilT_cyaB-,Solid,1
1,29,3.139175,4.29923881554251,1.0618479933815699,,101,39.0578734858681,38.0,0,mNG_pilT_cyaB-,Solid,1
1,30,2.657525,3.709557520594,1.07602877899718,,301,54.429252782194006,50.0,2,mNG_pilT_cyaB-,Solid,1
1,31,3.05045,4.393868683519029,1.07966912753363,,306,79.9695290858726,74.0,8,mNG_pilT_cyaB-,Solid,1
1,34,2.366,3.1738477631085003,1.01725889843221,,106,38.405357142857106,36.0,0,mNG_pilT_cyaB-,Solid,1
1,35,1.812525,2.48109034971425,1.03126181995361,,200,55.89510489510489,53.0,1,mNG_pilT_cyaB-,Solid,1
1,36,2.23925,3.1603548787427505,1.0751667862455,,342,75.2283018867925,70.0,13,mNG_pilT_cyaB-,Solid,1
1,37,2.05335,2.8042388155425098,1.0715443046841,,283,63.5987654320988,58.5,8,mNG_pilT_cyaB-,Solid,1
1,38,1.770275,2.4003187050514905,1.0602911889159399,,87,31.6443914081146,29.0,0,mNG_pilT_cyaB-,Solid,1
1,39,3.0082,4.09770598642227,1.07720199648359,,142,75.872191011236,75.0,17,mNG_pilT_cyaB-,Solid,1
1,40,3.080025,3.95883250982777,1.0536964904814201,,280,84.0137174211248,82.0,9,mNG_pilT_cyaB-,Solid,1
1,41,3.772925,4.7749952069245305,1.03559338372587,,121,49.54311310190371,49.0,2,mNG_pilT_cyaB-,Solid,1
1,42,3.18565,4.18039105243401,1.04537139221418,,154,49.840848806366,48.0,0,mNG_pilT_cyaB-,Solid,1
1,43,3.705325,4.51654328932551,1.03663200038358,,184,67.7445838084379,66.0,7,mNG_pilT_cyaB-,Solid,1
1,45,2.412475,3.11993811282275,1.07733896405877,,119,52.4553415061296,53.0,2,mNG_pilT_cyaB-,Solid,1
1,46,2.260375,3.04002092041053,1.06625402057869,,279,64.1476635514019,61.0,0,mNG_pilT_cyaB-,Solid,1
1,48,3.325075,4.3930142312685,1.11108783205933,,177,59.918678526048296,57.0,1,mNG_pilT_cyaB-,Solid,1
1,49,3.4307,4.391162697096759,1.07218794117342,,155,56.25,54.0,2,mNG_pilT_cyaB-,Solid,1
1,50,3.485625,4.56613698361077,1.0757887081989301,,144,52.139393939393905,50.0,0,mNG_pilT_cyaB-,Solid,1
1,51,2.556125,3.36921310205652,1.05345922252289,,158,68.1123966942149,68.0,15,mNG_pilT_cyaB-,Solid,1
1,52,3.18565,4.16960415449053,1.05033310539497,,212,59.675066312997295,57.5,0,mNG_pilT_cyaB-,Solid,1
1,53,2.851875,3.7457821048680198,1.07813720622286,,126,48.531851851851904,47.0,0,mNG_pilT_cyaB-,Solid,1
1,54,3.764475,4.94811795926681,1.01563070046691,,280,74.60269360269359,72.0,1,mNG_pilT_cyaB-,Solid,1
1,55,3.5659,4.64228922050227,1.07865749297459,,338,82.1018957345972,75.0,9,mNG_pilT_cyaB-,Solid,1
1,56,2.81385,3.79309703885628,1.0782535853761899,,147,48.370870870870895,46.5,0,mNG_pilT_cyaB-,Solid,1
1,57,4.36865,5.32611127012477,1.04190237166449,,125,62.8617021276596,62.0,10,mNG_pilT_cyaB-,Solid,1
1,58,3.637725,4.5750104602052595,1.06181463866535,,188,83.3344947735192,84.0,15,mNG_pilT_cyaB-,Solid,1
1,59,2.564575,3.4542388155425097,1.06263020768144,,131,48.6490939044481,47.0,0,mNG_pilT_cyaB-,Solid,1
1,60,2.294175,2.83769552621701,1.03476668459675,,173,67.292817679558,65.0,8,mNG_pilT_cyaB-,Solid,1
