 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Cell_ID,RetractedPilusLength_Dim,RetractedPilusFrame_Dim,RetractedPilusLength_Bright,RetractedPilusFrame_Bright,StdDev,Median,Slice,Strain,Growth
2.0,CpdA-FliC-_3_Microchannel_0_event6_tirf_RAW_Stack.tif,1314.0,255.0,255.0,255.0,35.02588,46.79072,1.0,1411.0,2394.59603,3378775.0,1806.0,4021.0,423.95512,122.17485,415.04039,69.0,2311.72464,159509.0,2203.0,2482.0,96.04975,2,0.0,141.06747,419.79292000000004,69.0,2408.68116,166199.0,2081.0,2508.0,97.11946999999999,9,0.0,0.9841,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_0_event8_tirf_RAW_Stack.tif,1747.0,255.0,255.0,255.0,58.10904,53.00315,1.0,1872.0,2374.11432,4444342.0,2201.0,2625.0,73.05091,321.8221,276.49242000000004,421.0,2362.02375,994412.0,2201.0,2625.0,96.57758000000001,10,0.0,284.06005,232.30147999999997,421.0,2378.6698300000003,1001420.0,2279.0,2467.0,38.597409999999996,1,0.0,0.9971200000000001,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_0_event9_tirf_RAW_Stack.tif,1805.0,255.0,255.0,255.0,39.1615,53.599169999999994,1.0,1929.0,2119.23069,4087996.0,1985.0,2311.0,68.97315,244.16341,240.83993999999998,577.0,2135.24437,1232036.0,1985.0,2311.0,76.4588,1,0.0,250.99897,244.65565,577.0,2135.25997,1232045.0,1985.0,2311.0,77.19428,8,0.0,1.0190299999999999,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_1_event1_tirf_RAW_Stack.tif,2565.0,255.0,255.0,255.0,37.908190000000005,69.7807,1.0,2730.0,2375.5930399999997,6485369.0,2204.0,2625.0,87.67105,368.18091,324.76855,577.0,2375.10572,1370436.0,2237.0,2558.0,79.34548000000001,6,0.0,366.69639,332.97848,577.0,2375.34662,1370575.0,2259.0,2558.0,68.67707,7,0.0,0.9997299999999999,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_1_event2_tirf_RAW_Stack.tif,1230.0,255.0,255.0,255.0,29.73902,41.79675,1.0,1332.0,2390.03829,3183531.0,2273.0,2561.0,72.12507,312.6911,208.14659,208.0,2352.84135,489391.0,2282.0,2471.0,38.734559999999995,6,0.0,315.53877,193.34792,208.0,2382.95673,495655.0,2279.0,2516.0,83.8685,4,0.0,0.98659,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_1_event3_tirf_RAW_Stack.tif,1029.0,255.0,255.0,255.0,40.32993,51.47668,1.0,1122.0,2370.3262,2659506.0,2253.0,2497.0,51.85519,315.38425,224.09322000000003,69.0,2350.43478,162180.0,2307.0,2422.0,34.49232,4,0.0,331.88281,230.55366,69.0,2401.46377,165701.0,2347.0,2455.0,33.90453,4,0.0,1.00271,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FliC-_3_Microchannel_1_event7_tirf_RAW_Stack.tif,2301.0,255.0,255.0,255.0,46.45828,19.405260000000002,1.0,2488.0,2393.0,5953784.0,2298.0,2471.0,26.9014,344.86437,205.72652,112.0,2394.47321,268181.0,2366.0,2429.0,16.5551,2,0.0,348.14153999999996,199.5705,112.0,2397.66071,268538.0,2364.0,2430.0,15.130989999999999,7,0.0,1.0014100000000001,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FLiC-_Microchannel_0_event3_tirf_RAW_Stack.tif,3125.0,255.0,255.0,255.0,70.23312,26.046879999999998,1.0,3368.0,66.78711,224939.0,0.0,158.0,34.44535,321.5575,223.11082000000002,208.0,49.95673,10391.0,0.0,122.0,33.83054,4,0.0,279.85947000000004,244.65046,208.0,83.70192,17410.0,34.0,133.0,24.80022,7,0.0,1.00072,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FLiC-_Microchannel_1_event5_tirf_RAW_Stack.tif,1854.0,255.0,255.0,255.0,60.035059999999994,49.35221,1.0,2089.0,2311.81091,4829373.0,2247.0,2398.0,28.58432,346.01878,341.94657,256.0,2299.42188,588652.0,2248.0,2358.0,27.17932,5,0.0,333.61169,353.40849,256.0,2326.82422,595667.0,2295.0,2362.0,17.47975,6,0.0,1.00075,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FLiC-_Microchannel_1_event7_tirf_RAW_Stack.tif,1793.0,255.0,255.0,255.0,35.76827,49.14306,1.0,1918.0,2345.56621,4498796.0,2100.0,2727.0,121.67595,286.83429,292.92556,225.0,2308.83556,519488.0,2148.0,2527.0,88.33239,2,0.0,261.99039,316.79513,225.0,2344.08889,527420.0,2184.0,2727.0,117.41757,6,0.0,0.98939,,,,,,,,,cpdA-fliC-,Liquid
1.0,CpdA-FLiC-_Microchannel_2_event6_tirf_RAW_Stack.tif,1470.0,255.0,255.0,255.0,27.57483,52.229929999999996,1.0,1575.0,2361.86857,3719943.0,2187.0,2556.0,93.36401,240.02101000000002,312.08158,316.0,2355.2373399999997,744255.0,2214.0,2556.0,74.14664,2,0.0,253.93788999999998,268.59025,316.0,2389.0696199999998,754946.0,2231.0,2505.0,77.1493,6,0.0,1.00729,,,,,,,,,cpdA-fliC-,Liquid
1.0,cpdA-fliC-_PaQa_solid_0_event1_tirf_RAW_Stack.tif,1941.0,255.0,255.0,255.0,51.307320000000004,49.58552,1.0,2079.0,2447.7494,5088871.0,553.0,3756.0,1067.05285,177.23769,250.57433999999998,489.0,2274.43763,1112200.0,341.0,3754.0,1203.41701,4,0.0,130.25274,202.96764,489.0,2373.62781,1160704.0,603.0,3756.0,1099.0702800000001,6,0.0,0.90866,,,,,,,,,cpdA-fliC-,Solid
1.0,cpdA-fliC-_PaQa_solid_0_event10_tirf_RAW_Stack.tif,2597.0,255.0,255.0,255.0,39.9278,56.70639,1.0,2740.0,2940.8927,8058046.0,835.0,3749.0,931.28263,271.79085,258.33987,749.0,2646.48999,1982221.0,730.0,3749.0,1131.54548,5,0.0,244.32811,198.60543,749.0,2864.17891,2145270.0,1063.0,3746.0,965.1849,6,0.0,0.87065,,,,,,,,,cpdA-fliC-,Solid
