TotalPili,bootMean,bootMedian,IC_mean,IC_median
0.0,312454.6869,272299.5,[222883.4825 417698.4425],[212789.875 406411.675]
1.0,643234.0914444444,444462.0,[434830.36111111 943688.95555556],[347013.3125 680282.    ]
2.0,614057.7464210526,458015.0,[426079.31842105 856896.675     ],[304316. 732782.]
3.0,554695.103375,456778.0,[410803.11875    740559.94583333],[344902. 654520.]
4.0,767839.298875,594554.5,[ 531265.7671875 1033303.4828125],[ 350062. 1135922.]
5.0,978952.5849230769,852350.0,[ 633322.97115385 1378019.25961538],[ 448312. 1122668.]
6.0,1109665.7570909092,934219.0,[ 855725.19772727 1494516.13409091],[ 777199. 1136354.]
