 ,Label,Area,MeanRed,TotalFluorescenceRed,MeanGreen,TotalFluorescenceGreen
1,Cell1,0.823,44.588,36.687,161.235,132.664
2,Cell2,2.372,36.612,86.830,80.913,191.894
3,Cell3,1.041,38.314,39.870,267.360,278.215
4,Cell4,0.762,48.270,36.796,229.238,174.748
5,Cell5,1.125,36.430,40.995,183.581,206.583
6,Cell6,1.198,39.293,47.069,200.919,240.681
7,Cell7,0.593,39.122,23.196,131.347,77.876
8,Cell8,0.944,48.282,45.569,167.744,158.316
9,Cell9,1.996,53.976,107.763,332.976,664.786
10,Cell10,1.041,59.163,61.565,426.209,443.513
11,Cell11,0.932,55.506,51.715,237.922,221.672
12,Cell12,1.004,39.759,39.930,105.337,105.790
13,Cell13,1.077,45.697,49.211,206.955,222.870
14,Cell14,1.065,51.705,55.055,101.784,108.380
15,Cell15,1.851,79.686,147.523,123.490,228.617
16,Cell16,1.512,41.056,62.097,186.648,282.305
17,Cell17,3.134,53.243,166.859,182.981,573.443
18,Cell18,1.198,34.657,41.515,54.121,64.832
19,Cell19,0.726,42.300,30.710,146.217,106.153
20,Cell20,1.367,77.752,106.311,259.912,355.377
21,Cell21,0.641,47.943,30.746,137.340,88.076
22,Cell22,1.065,75.795,80.707,118.920,126.626
23,Cell23,6.183,65.346,404.043,82.695,511.310
24,Cell24,1.053,55.874,58.818,88.057,92.698
25,Cell25,4.417,68.041,300.503,115.992,512.278
26,Cell26,1.500,89.250,133.911,165.556,248.401
27,Cell27,1.355,70.107,95.009,151.107,204.780
28,Cell28,1.246,74.951,93.412,162.476,202.493
29,Cell29,1.452,71.908,104.411,174.258,253.023
30,Cell30,1.452,56.675,82.292,141.600,205.603
31,Cell31,1.186,112.531,133.439,133.153,157.893
32,Cell32,0.762,40.937,31.206,57.206,43.608
33,Cell33,2.251,55.274,124.400,143.032,321.908
34,Cell34,1.851,103.255,191.156,185.556,343.519
35,Cell35,1.621,68.701,111.393,53.261,86.358
36,Cell36,1.960,65.117,127.643,42.463,83.236
37,Cell37,1.561,75.798,118.314,162.240,253.241
38,Cell38,1.452,74.008,107.460,102.700,149.120
39,Cell39,1.694,92.771,157.155,160.607,272.068
40,Cell40,1.682,52.906,88.983,149.820,251.983
41,Cell41,0.750,75.000,56.265,53.032,39.785
42,Cell42,1.827,96.808,176.878,145.768,266.333
43,Cell43,1.609,82.774,133.209,135.519,218.090
44,Cell44,1.779,60.830,108.198,129.224,229.852
45,Cell45,0.799,66.667,53.240,161.758,129.180
46,Cell46,1.125,46.688,52.538,90.731,102.100
47,Cell47,1.053,40.644,42.786,92.747,97.635
48,Cell48,0.581,50.167,29.137,131.375,76.303
49,Cell49,1.271,94.390,119.923,177.857,225.968
50,Cell50,1.198,83.495,100.019,166.899,199.928
51,Cell51,1.694,83.279,141.074,190.286,322.344
52,Cell52,2.601,47.302,123.057,104.265,271.246
53,Cell53,1.125,77.505,87.217,125.108,140.784
54,Cell54,1.004,74.289,74.609,104.867,105.318
55,Cell55,1.355,103.759,140.614,186.786,253.132
56,Cell56,1.028,81.094,83.405,131.435,135.181
57,Cell57,0.702,80.569,56.543,60.017,42.120
58,Cell58,2.057,53.900,110.872,42.924,88.294
59,Cell59,1.089,75.322,82.026,141.378,153.960
60,Cell60,0.738,63.311,46.730,132.623,97.889
61,Cell61,0.871,52.986,46.162,28.667,24.974
62,Cell62,1.089,101.656,110.703,117.900,128.393
63,Cell63,0.871,34.528,30.081,84.083,73.253
64,Cell64,0.932,46.792,43.596,120.506,112.276
65,Cell65,3.376,86.832,293.135,145.237,490.304
66,Cell66,1.537,74.441,114.393,152.260,233.978
67,Cell67,0.593,41.408,24.551,57.061,33.832
68,Cell68,2.214,66.836,147.995,122.011,270.169
69,Cell69,0.920,72.908,67.046,84.224,77.452
70,Cell70,1.912,69.272,132.435,217.563,415.938
71,Cell71,1.379,79.596,109.795,229.456,316.512
72,Cell72,1.863,73.955,137.807,149.968,279.450
73,Cell73,2.202,66.302,146.011,179.643,395.609
74,Cell74,1.053,79.149,83.321,110.598,116.426
75,Cell75,2.045,63.160,129.155,197.515,403.898
76,Cell76,1.815,110.807,201.114,117.627,213.492
77,Cell77,1.077,44.640,48.073,122.416,131.830
78,Cell78,1.283,74.368,95.384,158.670,203.510
79,Cell79,0.629,30.942,19.469,107.519,67.651
80,Cell80,1.416,58.120,82.280,149.325,211.399
81,Cell81,3.206,67.687,217.038,121.728,390.322
82,Cell82,1.718,54.070,92.904,90.634,155.727
83,Cell83,1.234,64.461,79.558,137.686,169.932
84,Cell84,1.113,45.815,51.002,81.076,90.254
85,Cell85,0.883,64.425,56.906,178.247,157.445
86,Cell86,0.811,50.403,40.862,95.627,77.525
87,Cell87,1.137,58.362,66.381,131.447,149.508
88,Cell88,2.299,50.311,115.664,209.679,482.052
89,Cell89,1.452,57.575,83.599,48.492,70.410
90,Cell90,0.992,60.427,59.956,63.915,63.416
91,Cell91,1.331,33.527,44.625,52.755,70.216
92,Cell92,1.561,70.116,109.445,62.248,97.163
93,Cell93,1.101,63.363,69.769,154.132,169.715
94,Cell94,1.791,45.736,81.905,32.946,59.000
95,Cell95,2.505,38.870,97.357,104.222,261.045
96,Cell96,0.629,36.192,22.772,88.712,55.817
97,Cell97,0.653,42.667,27.878,52.963,34.606
98,Cell98,0.787,60.477,47.565,78.462,61.710
99,Cell99,1.258,48.423,60.936,113.817,143.228
100,Cell100,1.670,59.094,98.675,76.486,127.715
101,Cell101,0.944,31.641,29.863,15.769,14.883
