Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,Strain,Growth,Bio_Rep
1,1,2.116725,2.7688686835190297,1.02091507602902,1.10308657865101,489,301.80638722554903,310.0,87,716,456.17564870259497,496.0,87,fliC-,Liquid,3
1,3,4.355975,5.686908628273519,1.1106877984731,1.1351761977772399,468,281.78273520853503,289.0,73,766,475.28612997090204,501.0,108,fliC-,Liquid,3
1,4,2.23925,3.1668877078629905,1.05295781937616,1.0090713552569,569,356.37735849056605,363.5,124,646,380.139622641509,391.5,50,fliC-,Liquid,3
1,5,3.9377,5.492335854398791,1.07966912753363,1.07594144822105,729,465.387339055794,474.0,133,693,435.507510729614,455.5,111,fliC-,Liquid,3
1,6,3.4476,4.47150711563425,1.0564711484701501,1.1351761977772399,1154,784.294117647059,810.5,192,666,413.785539215686,445.5,87,fliC-,Liquid,3
1,7,2.370225,3.14309703885628,1.0842440343225601,1.1183022847155402,607,364.69696969697,369.0,110,803,500.21925133689797,529.0,102,fliC-,Liquid,3
1,8,2.3491,3.3260903497142498,1.06860858323736,1.07200746266059,555,352.785971223022,364.5,112,656,404.338129496403,418.5,60,fliC-,Liquid,3
1,9,4.296825,6.1181179592668,1.06849779136419,1.02774023955472,731,491.619469026549,502.0,146,702,441.64601769911496,461.0,59,fliC-,Liquid,3
1,10,4.11515,5.5453910524340095,1.04010175530697,1.0090713552569,316,176.96201232032902,181.5,25,692,439.0,464.0,97,fliC-,Liquid,3
1,11,2.285725,3.3177059864222698,1.08208040372062,1.02774023955472,962,617.517560073937,645.0,197,752,471.365988909427,490.0,83,fliC-,Liquid,3
1,12,2.54345,3.34001046020526,1.07495768305416,1.07200746266059,408,224.07641196013302,228.5,57,747,452.38538205980103,475.5,104,fliC-,Liquid,3
1,13,2.1294,2.8607925650732797,1.02023407663107,1.1183022847155402,565,334.178571428571,336.0,106,734,436.579365079365,459.0,74,fliC-,Liquid,3
1,14,2.792725,3.7611265234055002,1.0763553286906802,1.07200746266059,594,387.65658093797305,400.0,89,660,414.61119515885,445.0,75,fliC-,Liquid,3
1,15,2.851875,3.5257716446627496,1.0232639266575099,1.1351761977772399,582,375.28296296296304,388.0,92,741,455.204444444444,486.0,91,fliC-,Liquid,3
1,16,2.471625,3.162695526217,1.03431618513601,1.07200746266059,611,353.606837606838,365.0,77,732,458.246153846154,487.0,102,fliC-,Liquid,3
1,17,2.547675,3.26577164466275,1.0251465529996,1.04,1187,782.242122719735,812.0,239,697,442.83747927031504,471.0,81,fliC-,Liquid,3
1,18,2.488525,3.33809703885628,1.06943883159658,1.07594144822105,482,314.03565365025503,326.0,79,776,510.315789473684,547.0,126,fliC-,Liquid,3
1,19,4.2588,5.97808657865101,1.0472181922649901,1.0090713552569,570,370.8125,382.0,109,739,488.9375,509.0,77,fliC-,Liquid,3
1,20,2.184325,3.0888220496225096,1.07282782938659,1.07594144822105,874,573.1083172147,591.0,208,644,411.806576402321,440.0,43,fliC-,Liquid,3
1,21,2.226575,2.9611626970967597,1.07317740370634,1.07594144822105,451,262.392789373814,268.0,66,772,480.633776091082,509.0,111,fliC-,Liquid,3
1,22,2.370225,3.14501046020527,1.07708048353565,1.07594144822105,446,265.158645276292,272.0,56,720,460.84670231729103,471.0,109,fliC-,Liquid,3
1,23,2.9913,3.812695526217,1.02654306970036,1.07200746266059,725,450.858757062147,465.5,128,723,434.772598870056,450.0,77,fliC-,Liquid,3
1,24,2.361775,3.40501046020527,1.07423467958353,1.0174109297624,558,356.790697674419,366.0,111,659,421.304114490161,433.0,139,fliC-,Liquid,3
1,25,4.313725,5.594557520594,1.0778994059603002,1.07200746266059,905,622.447600391773,651.0,218,923,600.1459353574929,645.0,131,fliC-,Liquid,3
1,26,3.9208,5.478477631085019,1.0791495117942902,1.04,1608,1032.00646551724,1061.0,264,780,489.01724137931,505.0,89,fliC-,Liquid,3
1,27,3.122275,4.200782104868019,1.07414401585807,1.04,653,444.381596752368,463.0,163,589,399.327469553451,421.0,80,fliC-,Liquid,3
