,_rlnReferenceImage,_rlnClassDistribution,_rlnAccuracyRotations,_rlnAccuracyTranslationsAngst,_rlnEstimatedResolution,_rlnOverallFourierCompleteness,_rlnClassPriorOffsetX,_rlnClassPriorOffsetY,_rlnHelicalRise,_rlnHelicalTwist
0,000001@Class2D/job023/run_it025_classes.mrcs,0.044804,0.100000,0.116600,5.773617,1.000000,0.006789,-0.00583,6.785000,0.000000
1,000002@Class2D/job023/run_it025_classes.mrcs,0.043130,0.100000,0.106000,5.773617,0.987974,-0.00287,0.005001,6.785000,0.000000
2,000003@Class2D/job023/run_it025_classes.mrcs,0.051705,0.100000,0.116600,5.773617,1.000000,0.004884,-0.01720,6.785000,0.000000
3,000004@Class2D/job023/run_it025_classes.mrcs,0.038869,0.100000,0.106000,5.773617,1.000000,-0.00359,-0.06048,6.785000,0.000000
4,000005@Class2D/job023/run_it025_classes.mrcs,0.034721,0.100000,0.106000,5.899130,0.995905,-0.00162,-0.03810,6.785000,0.000000
5,000006@Class2D/job023/run_it025_classes.mrcs,0.039492,0.100000,0.106000,6.030222,1.000000,-0.00179,-0.01523,6.785000,0.000000
6,000007@Class2D/job023/run_it025_classes.mrcs,0.025312,0.150000,0.116600,6.460952,0.982404,-0.00514,0.025660,6.785000,0.000000
7,000008@Class2D/job023/run_it025_classes.mrcs,0.000000,999.000000,999.000000,27.136000,0.938706,0.000000,0.000000,6.785000,0.000000
8,000009@Class2D/job023/run_it025_classes.mrcs,0.022864,0.150000,0.116600,6.618537,0.931072,-0.00449,0.002821,6.785000,0.000000
9,000010@Class2D/job023/run_it025_classes.mrcs,0.042342,0.100000,0.106000,5.653333,0.981035,-0.00207,-0.06010,6.785000,0.000000
10,000011@Class2D/job023/run_it025_classes.mrcs,0.034841,0.100000,0.106000,5.653333,0.984371,-0.00106,-0.08223,6.785000,0.000000
11,000012@Class2D/job023/run_it025_classes.mrcs,0.026376,0.150000,0.116600,7.141053,0.979111,0.001241,0.036684,6.785000,0.000000
12,000013@Class2D/job023/run_it025_classes.mrcs,0.000000,999.000000,999.000000,45.226667,0.494115,0.000000,0.000000,6.785000,0.000000
13,000014@Class2D/job023/run_it025_classes.mrcs,0.057661,0.120000,0.116600,5.773617,0.968992,-0.00149,0.011054,6.785000,0.000000
14,000015@Class2D/job023/run_it025_classes.mrcs,0.000000,999.000000,999.000000,30.151111,0.602485,0.000000,0.000000,6.785000,0.000000
15,000016@Class2D/job023/run_it025_classes.mrcs,0.053449,0.100000,0.106000,5.537959,0.977617,-0.00490,0.014487,6.785000,0.000000
16,000017@Class2D/job023/run_it025_classes.mrcs,0.058626,0.150000,0.116600,5.537959,0.968979,0.003606,0.147456,6.785000,0.000000
17,000018@Class2D/job023/run_it025_classes.mrcs,0.051618,0.100000,0.116600,5.537959,0.975280,-0.00934,0.058387,6.785000,0.000000
18,000019@Class2D/job023/run_it025_classes.mrcs,0.000000,999.000000,999.000000,inf,-nan,0.000000,0.000000,6.785000,0.000000
19,000020@Class2D/job023/run_it025_classes.mrcs,0.043214,0.100000,0.106000,5.773617,0.999903,-0.00191,0.038851,6.785000,0.000000
20,000021@Class2D/job023/run_it025_classes.mrcs,0.038329,0.100000,0.106000,5.773617,0.995442,-0.00346,-0.00163,6.785000,0.000000
21,000022@Class2D/job023/run_it025_classes.mrcs,0.049912,0.100000,0.116600,5.773617,0.999030,-0.00384,0.145635,6.785000,0.000000
22,000023@Class2D/job023/run_it025_classes.mrcs,0.028114,0.100000,0.106000,5.899130,1.000000,-0.00380,0.109768,6.785000,0.000000
23,000024@Class2D/job023/run_it025_classes.mrcs,0.000000,999.000000,999.000000,24.669091,0.913490,0.000000,0.000000,6.785000,0.000000
24,000025@Class2D/job023/run_it025_classes.mrcs,0.047729,0.100000,0.116600,5.653333,1.000000,3.701404e-04,-0.04172,6.785000,0.000000
25,000026@Class2D/job023/run_it025_classes.mrcs,0.046912,0.100000,0.116600,5.773617,0.989720,-0.00548,-0.03767,6.785000,0.000000
26,000027@Class2D/job023/run_it025_classes.mrcs,0.024078,0.150000,0.137800,6.460952,0.966597,-0.00342,0.037823,6.785000,0.000000
27,000028@Class2D/job023/run_it025_classes.mrcs,0.000000,999.000000,999.000000,54.272000,0.730073,0.000000,0.000000,6.785000,0.000000
28,000029@Class2D/job023/run_it025_classes.mrcs,0.041373,0.100000,0.106000,5.773617,0.998157,-0.00354,0.033956,6.785000,0.000000
29,000030@Class2D/job023/run_it025_classes.mrcs,0.054528,0.100000,0.116600,5.653333,0.999142,-0.00653,0.031046,6.785000,0.000000
