 ,Label,Angle,Median,Slice,Length
60,run_it025_classes.mrcs:z:12/30 - run_it025_classes.mrcs,-10.817834,0.078221,12,0.004236
61,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.787243,-0.083585,14,0.003942
62,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-4.888401,-0.025209,14,0.004043
63,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.710593,0.069767,14,0.003995
64,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.262395,-0.004742,14,0.004045
65,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-5.492325,-0.078192,14,0.004153
66,run_it025_classes.mrcs:z:14/30 - run_it025_classes.mrcs,-6.753574,0.021897,14,0.004056
67,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.402609,0.058900,16,0.003793
68,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.744956,0.065820,16,0.003873
69,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.188583,0.023053,16,0.004164
70,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,1.548158,0.035940,16,0.003923
71,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,2.454032,0.064300,16,0.003713
72,run_it025_classes.mrcs:z:16/30 - run_it025_classes.mrcs,1.974934,-0.118678,16,0.003845
73,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,8.549077,0.080667,17,0.004100
74,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,8.289404,-0.053297,17,0.004044
75,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,8.833415,-0.055598,17,0.003969
76,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,9.062856,0.112352,17,0.004374
77,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,9.031072,0.005330,17,0.004052
78,run_it025_classes.mrcs:z:17/30 - run_it025_classes.mrcs,9.522255,-0.004448,17,0.004165
79,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-0.758840,-0.056250,18,0.004002
80,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,0.372045,0.099768,18,0.004081
81,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-0.384530,-0.082533,18,0.003949
82,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,0.379437,0.077699,18,0.004002
83,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,-1.123303,0.133404,18,0.004055
84,run_it025_classes.mrcs:z:18/30 - run_it025_classes.mrcs,0.000000,-0.052776,18,0.004107
85,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.763898,-0.066325,20,0.003975
86,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.101706,-0.079886,20,0.004135
87,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.558684,-0.023359,20,0.003897
88,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.108812,0.080877,20,0.004108
89,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.138177,-0.128885,20,0.004002
90,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,1.487868,0.021407,20,0.004082
