Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,Strain,Growth,Bio_Rep
1,1,1.6224,2.95462986797652,1.08105700875118,1.07200746266059,1261,891.166666666667,922.5,241,375,271.5,292.0,132,fliC-lolo,Liquid,2
1,3,2.9237,4.8600209204105305,1.0990769678879,1.04809350727881,1149,675.057803468208,705.0,160,978,581.8901734104049,566.0,252,fliC-lolo,Liquid,2
1,6,1.8759,2.9407097574855,1.02715962713898,1.1627553482998898,1420,1009.8648648648599,1068.0,218,498,353.90090090090104,364.0,146,fliC-lolo,Liquid,2
1,8,1.8928,3.31308657865101,1.0721738456350798,0.990050503762308,1469,942.035714285714,1044.5,292,820,591.660714285714,617.5,263,fliC-lolo,Liquid,2
1,10,1.7069,2.44769552621701,1.03962597048738,1.04,1381,924.049504950495,940.0,258,426,273.544554455446,278.0,105,fliC-lolo,Liquid,2
1,12,2.0111,3.2007097574855,1.05464109593336,1.1627553482998898,1390,984.831932773109,1015.0,260,651,472.210084033613,488.0,197,fliC-lolo,Liquid,2
1,13,2.0111,3.30840528370251,1.02454908883144,1.10308657865101,1420,1014.95798319328,1065.0,332,473,322.957983193277,329.0,157,fliC-lolo,Liquid,2
1,14,1.8421,3.016861994377,1.04517408281644,1.04809350727881,1243,874.8715596330279,897.0,206,398,271.954128440367,276.0,110,fliC-lolo,Liquid,2
1,16,1.7069,2.80232539419353,1.0778174593052,1.1627553482998898,1567,1078.76237623762,1126.0,281,557,397.366336633663,408.0,142,fliC-lolo,Liquid,2
1,17,1.5886,2.6500209204105296,1.0269701942148,1.10308657865101,1733,1184.7446808510601,1295.5,418,923,678.872340425532,685.0,318,fliC-lolo,Liquid,2
1,18,1.9604,2.73,1.0,1.04,1801,1213.10344827586,1178.0,351,469,314.741379310345,325.5,109,fliC-lolo,Liquid,2
1,19,1.7238,2.7791664681599997,1.0557942210068199,1.19854077944808,1543,1047.24509803922,1086.5,270,701,447.03921568627504,452.5,177,fliC-lolo,Liquid,2
1,20,1.9266,3.27771644662754,1.04873100733801,1.01533245786787,1231,894.385964912281,942.0,275,354,248.40350877192998,256.5,116,fliC-lolo,Liquid,2
1,21,2.1125,3.3315642097360403,1.03508162352237,1.1183022847155402,1591,1111.4160000000002,1155.0,281,814,575.44,586.0,222,fliC-lolo,Liquid,2
1,22,1.4872,2.5423253941935298,1.05135584562486,1.1183022847155402,1153,770.397727272727,787.0,246,392,264.829545454545,267.5,107,fliC-lolo,Liquid,2
1,24,2.7209,4.71695526217005,1.06810881800741,1.01533245786787,1500,1044.08074534161,1084.0,303,876,638.490683229814,652.0,260,fliC-lolo,Liquid,2
1,25,1.8928,2.7838477631085,1.01857026770862,1.07200746266059,1379,933.9375,931.0,296,522,360.41071428571405,395.0,150,fliC-lolo,Liquid,2
1,26,1.5548,2.3938477631085,1.02143678763816,1.07200746266059,1337,948.478260869565,1020.0,316,458,317.5,327.5,124,fliC-lolo,Liquid,2
1,27,1.7069,2.68539105243401,1.0638821202286,1.07200746266059,1631,1107.27722772277,1142.0,438,1576,1135.9702970297,1184.0,541,fliC-lolo,Liquid,2
1,28,2.5519,4.27693434175952,1.0679627982988,0.946414285606467,1447,1011.6357615894,1036.0,290,951,665.112582781457,675.0,296,fliC-lolo,Liquid,2
1,29,1.7069,2.76154328932551,1.05038098032057,1.07200746266059,1628,1036.0297029703,1118.0,293,555,377.73267326732696,393.0,151,fliC-lolo,Liquid,2
1,30,2.5519,4.37156420973604,1.07145859782737,1.07200746266059,1727,1225.8476821192098,1249.0,434,418,304.291390728477,312.0,147,fliC-lolo,Liquid,2
1,31,1.6393,2.80232539419353,1.06459220434141,1.1627553482998898,1535,1009.85567010309,1034.0,268,349,244.298969072165,244.0,107,fliC-lolo,Liquid,2
1,32,2.6871,4.50156420973604,1.07375061921325,1.07200746266059,1695,1209.6163522012598,1276.0,271,824,576.459119496855,592.0,185,fliC-lolo,Liquid,2
1,33,2.2984,3.43840528370251,1.032670553949,1.10308657865101,1586,1125.9926470588198,1184.0,364,430,291.742647058824,305.0,104,fliC-lolo,Liquid,2
1,35,2.3322,4.039238815542509,1.05583786490281,0.946414285606467,1297,865.623188405797,891.0,243,567,386.717391304348,392.5,156,fliC-lolo,Liquid,2
1,36,2.6364,4.29541197284454,1.0636477221210199,1.10308657865101,1551,1063.1987179487198,1109.5,393,472,304.38461538461496,307.0,120,fliC-lolo,Liquid,2
1,37,1.9097,2.81539105243401,1.06181463866535,1.1627553482998898,1337,937.106194690266,968.0,438,389,257.46902654867296,262.0,120,fliC-lolo,Liquid,2
1,39,1.859,3.24617315730203,1.10140430697515,1.04809350727881,1411,948.118181818182,1007.5,256,380,259.345454545455,264.5,106,fliC-lolo,Liquid,2
1,40,1.8252,3.0623253941935302,1.07296230398034,1.1627553482998898,1643,1177.15740740741,1237.0,371,439,306.064814814815,319.5,163,fliC-lolo,Liquid,2
1,41,2.6533,4.039238815542509,1.06572883372038,1.07200746266059,1416,944.426751592357,958.0,357,479,312.566878980892,317.0,111,fliC-lolo,Liquid,2
1,43,1.8083,2.93232539419353,1.08398896456619,1.1627553482998898,1597,1126.08411214953,1174.0,458,349,248.21495327102798,255.0,110,fliC-lolo,Liquid,2
