Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep
Track_16333,16333,28,0,0,0,0,0,27,490,517,8.972000000000001,16333,180.925,161.525,0,0.9470000000000001,2.312,0.215,0.9329999999999999,0.547,3.475,5.977,1.893,3.325,1.048,fliC-,PaQa,3,2
Track_16364,16364,25,0,0,0,0,0,24,492,516,0.88,16364,12.190999999999999,64.3,0,0.879,1.6280000000000001,0.226,0.912,0.309,2.484,3.133,1.798,2.574,0.368,fliC-,PaQa,3,2
Track_16371,16371,53,0,0,0,0,0,52,492,544,12.89,16371,45.196000000000005,251.43900000000002,0,0.674,2.506,0.11800000000000001,0.6,0.40299999999999997,2.872,6.224,2.221,2.852,0.537,fliC-,PaQa,3,2
Track_16388,16388,34,0,0,0,0,0,33,492,525,1.879,16388,300.869,51.203,0,0.531,1.382,0.034,0.46299999999999997,0.344,3.656,4.172,3.0210000000000004,3.713,0.23399999999999999,fliC-,PaQa,3,2
Track_16425,16425,29,0,0,0,0,0,28,493,521,3.575,16425,93.471,200.24200000000002,0,0.946,2.61,0.083,0.8029999999999999,0.631,2.745,3.4619999999999997,1.807,2.818,0.46799999999999997,fliC-,PaQa,3,2
Track_16428,16428,25,0,0,0,0,0,24,493,517,12.192,16428,312.07,73.007,0,0.787,1.589,0.138,0.826,0.397,3.572,4.15,3.069,3.585,0.203,fliC-,PaQa,3,2
Track_16440,16440,26,1,1,0,0,0,26,494,520,6.586,16440,299.066,7.939,0,0.9309999999999999,1.743,0.138,0.9570000000000001,0.528,3.2039999999999997,4.665,1.905,3.141,0.752,fliC-,PaQa,3,2
Track_16458,16458,27,1,1,0,0,0,27,494,521,14.720999999999998,16458,111.712,124.927,0,1.089,2.845,0.201,0.9740000000000001,0.626,2.7769999999999997,3.7089999999999996,1.665,2.795,0.469,fliC-,PaQa,3,2
Track_16463,16463,28,1,1,0,0,0,28,494,522,11.924000000000001,16463,252.861,143.135,0,0.9009999999999999,1.607,0.315,0.8959999999999999,0.297,2.7030000000000003,3.07,1.739,2.835,0.341,fliC-,PaQa,3,2
Track_16469,16469,29,1,1,0,0,0,29,494,523,12.61,16469,94.428,104.44200000000001,0,0.9229999999999999,2.395,0.264,0.778,0.49200000000000005,2.9730000000000003,4.024,2.04,2.95,0.425,fliC-,PaQa,3,2
Track_16486,16486,33,0,0,0,0,0,32,494,526,14.337,16486,318.319,89.14399999999999,0,0.7020000000000001,2.3680000000000003,4.834e-07,0.515,0.7120000000000001,2.6210000000000004,3.011,2.0580000000000003,2.648,0.26,fliC-,PaQa,3,2
Track_16572,16572,22,1,1,0,0,0,22,497,519,10.515,16572,50.983999999999995,119.384,0,1.013,2.9389999999999996,0.138,0.726,0.7090000000000001,3.4419999999999997,6.849,2.823,3.33,0.7759999999999999,fliC-,PaQa,3,2
Track_16609,16609,23,0,0,0,0,0,22,498,520,3.221,16609,156.11,66.15,0,0.863,2.662,0.068,0.687,0.691,3.264,3.557,2.842,3.295,0.17600000000000002,fliC-,PaQa,3,2
Track_16702,16702,25,1,1,0,0,0,25,500,525,7.019,16702,42.566,16.695999999999998,0,0.9059999999999999,2.772,0.055,0.799,0.583,3.443,5.534,1.9780000000000002,3.4419999999999997,0.7609999999999999,fliC-,PaQa,3,2
Track_16735,16735,31,1,1,0,0,0,31,502,533,12.675,16735,290.668,55.257,0,1.054,2.228,0.09,1.035,0.57,3.032,4.8839999999999995,2.218,2.863,0.6559999999999999,fliC-,PaQa,3,2
Track_16737,16737,24,0,0,0,0,0,23,502,525,6.507000000000001,16737,328.904,96.90700000000001,0,0.7759999999999999,2.313,0.0,0.65,0.591,3.583,4.928999999999999,2.748,3.412,0.5710000000000001,fliC-,PaQa,3,2
Track_16741,16741,24,1,1,0,0,0,24,502,526,11.41,16741,228.641,203.357,0,0.7240000000000001,1.473,0.124,0.718,0.34700000000000003,2.396,2.705,1.7819999999999998,2.474,0.244,fliC-,PaQa,3,2
Track_16758,16758,24,0,0,0,0,0,23,502,525,13.218,16758,231.52700000000002,54.141999999999996,0,1.105,2.9760000000000004,0.368,1.03,0.5670000000000001,2.985,3.534,2.009,3.1069999999999998,0.39799999999999996,fliC-,PaQa,3,2
Track_16766,16766,39,0,0,0,0,0,38,503,541,8.521,16766,5.269,172.953,0,0.5579999999999999,1.893,0.055999999999999994,0.466,0.484,2.7119999999999997,3.0839999999999996,1.7169999999999999,2.818,0.32299999999999995,fliC-,PaQa,3,2
Track_16791,16791,25,0,0,0,0,0,24,503,527,8.495,16791,302.069,127.006,0,0.968,1.9169999999999998,0.105,0.9440000000000001,0.561,2.9360000000000004,3.335,2.048,3.052,0.33799999999999997,fliC-,PaQa,3,2
Track_16795,16795,25,0,0,0,0,0,24,503,527,10.002,16795,62.31,44.037,0,1.093,3.0439999999999996,0.013000000000000001,0.9840000000000001,0.742,3.59,4.791,2.124,3.642,0.524,fliC-,PaQa,3,2
Track_16796,16796,31,0,0,0,0,0,30,503,533,6.599,16796,0.6890000000000001,50.876999999999995,0,1.038,1.95,0.325,1.026,0.505,3.4539999999999997,5.882000000000001,2.2119999999999997,3.22,0.846,fliC-,PaQa,3,2
Track_16868,16868,29,0,0,0,0,0,28,505,533,9.437000000000001,16868,155.805,4.431,0,1.0390000000000001,2.318,0.0,0.9520000000000001,0.674,3.431,4.538,2.0340000000000003,3.438,0.5820000000000001,fliC-,PaQa,3,2
Track_16896,16896,41,0,0,0,0,0,40,506,546,22.930999999999997,16896,229.197,155.69299999999998,0,0.853,2.6210000000000004,0.188,0.875,0.44299999999999995,2.938,3.322,2.035,3.0389999999999997,0.337,fliC-,PaQa,3,2
Track_16914,16914,29,0,0,0,0,0,28,506,534,8.302,16914,225.863,38.382,0,0.9009999999999999,2.276,0.111,0.8490000000000001,0.522,2.552,3.969,1.9140000000000001,2.502,0.41200000000000003,fliC-,PaQa,3,2
Track_16929,16929,26,0,0,0,0,0,25,507,532,11.157,16929,141.181,65.021,0,0.978,2.506,0.11,0.98,0.49200000000000005,2.926,4.039,1.673,3.091,0.483,fliC-,PaQa,3,2
Track_16946,16946,26,0,0,0,0,0,25,508,533,9.496,16946,119.836,53.016000000000005,0,1.2930000000000001,2.499,0.29100000000000004,1.148,0.716,3.398,6.6610000000000005,2.068,3.4739999999999998,0.83,fliC-,PaQa,3,2
Track_16949,16949,21,1,1,0,0,0,21,508,529,2.667,16949,127.321,204.141,0,0.7490000000000001,1.6469999999999998,0.013999999999999999,0.642,0.488,2.506,2.9539999999999997,1.76,2.541,0.304,fliC-,PaQa,3,2
Track_16987,16987,21,1,1,0,0,0,21,509,530,8.371,16987,239.412,7.83,0,0.998,1.901,0.313,0.986,0.426,2.786,3.3339999999999996,2.155,2.804,0.27699999999999997,fliC-,PaQa,3,2
Track_17016,17016,69,1,1,0,0,0,69,510,579,18.226,17016,279.986,120.195,0,1.0590000000000002,3.09,0.04,0.924,0.644,3.199,4.148,1.743,3.2489999999999997,0.405,fliC-,PaQa,3,2
Track_17024,17024,21,1,1,0,0,0,21,510,531,9.802,17024,218.68200000000002,7.449,0,1.0490000000000002,2.1830000000000003,0.29,1.089,0.541,3.325,4.678999999999999,2.705,3.38,0.517,fliC-,PaQa,3,2
Track_17026,17026,28,1,1,0,0,0,28,510,538,10.536,17026,73.096,236.74599999999998,0,1.03,2.74,0.198,0.862,0.635,2.426,3.175,1.963,2.411,0.322,fliC-,PaQa,3,2
Track_17067,17067,26,1,1,0,0,0,26,511,537,10.405999999999999,17067,47.126000000000005,3.0469999999999997,0,1.036,2.28,0.325,0.862,0.542,3.202,4.585,2.208,3.3689999999999998,0.684,fliC-,PaQa,3,2
Track_17130,17130,38,1,1,0,0,0,38,513,551,4.863,17130,120.306,18.075,0,0.95,2.073,0.16399999999999998,0.8590000000000001,0.528,2.991,4.2860000000000005,1.729,3.1639999999999997,0.737,fliC-,PaQa,3,2
Track_17186,17186,28,0,0,0,0,0,27,515,542,13.069,17186,108.735,175.764,0,0.9359999999999999,2.281,0.096,0.982,0.5,3.218,6.722,1.98,3.056,1.032,fliC-,PaQa,3,2
Track_17191,17191,25,0,0,0,0,0,24,515,539,12.409,17191,146.162,45.38399999999999,0,0.9690000000000001,1.871,0.27,0.91,0.406,2.5810000000000004,3.345,1.67,2.656,0.44299999999999995,fliC-,PaQa,3,2
Track_17207,17207,84,1,1,0,0,0,84,516,600,12.667,17207,134.339,38.775,0,0.728,2.875,0.057,0.6859999999999999,0.486,3.747,5.4910000000000005,2.989,3.6710000000000003,0.491,fliC-,PaQa,3,2
Track_17210,17210,22,0,0,0,0,0,21,516,537,5.81,17210,183.68,148.766,0,0.937,2.062,0.126,0.8340000000000001,0.544,3.932,7.064,2.491,3.813,0.898,fliC-,PaQa,3,2
Track_17241,17241,23,0,0,0,0,0,22,518,540,10.767999999999999,17241,214.118,235.665,0,0.8640000000000001,1.74,0.17300000000000001,0.87,0.33799999999999997,2.6,3.2560000000000002,1.8259999999999998,2.6919999999999997,0.435,fliC-,PaQa,3,2
Track_17311,17311,47,1,1,0,0,0,47,519,566,15.174000000000001,17311,142.299,56.339,0,1.0659999999999998,2.713,0.191,0.966,0.608,2.759,4.459,1.861,2.792,0.495,fliC-,PaQa,3,2
Track_17374,17374,23,1,1,0,0,0,23,520,543,0.1,17374,54.144,202.933,0,0.032,0.11199999999999999,2.51e-07,0.025,0.038,1.77,1.787,1.715,1.786,0.025,fliC-,PaQa,3,2
Track_17449,17449,21,1,1,0,0,0,21,522,543,4.939,17449,275.751,216.80700000000002,0,1.117,2.349,0.203,1.006,0.638,2.7460000000000004,4.244,1.7109999999999999,2.8480000000000003,0.7759999999999999,fliC-,PaQa,3,2
Track_17497,17497,26,1,1,0,0,0,26,523,549,11.754000000000001,17497,77.038,6.223,0,0.81,2.5610000000000004,0.156,0.6809999999999999,0.648,3.675,3.9989999999999997,2.8960000000000004,3.764,0.24100000000000002,fliC-,PaQa,3,2
