Slice,Mean
373,0.00030170
374,-0.00080220
375,0.00026504
376,0.00103401
377,0.00047513
378,0.00069300
379,0.00021623
380,-0.00051616
381,-0.00101890
382,-0.00005957
383,-0.00067073
384,0.00077967
385,0.00084099
386,0.00058090
387,0.00000579
388,0.00051377
389,-0.00139115
390,-0.00015295
391,-0.00054698
392,0.00117437
393,0.00060272
394,0.00084265
395,0.00022722
396,-0.00036345
397,0.00008151
398,0.00104771
399,0.00155887
400,0.00053098
401,0.00159725
402,0.00086294
403,0.00054893
404,0.00024478
405,0.00195660
406,0.00102750
407,0.00059505
408,0.00088222
409,0.00107542
410,0.00020562
411,0.00061796
412,0.00098108
413,0.00097887
414,-0.00065693
415,0.00048928
416,0.00153206
417,0.00069408
418,0.00122887
419,0.00118426
420,-0.00002741
421,-0.00011873
422,0.00024916
423,0.00083931
424,0.00133293
425,0.00099493
426,0.00102297
427,-0.00091739
428,-0.00121189
429,0.00047516
430,0.00007179
431,0.00077314
432,0.00054707
433,-0.00119928
434,0.00021434
435,-0.00174142
436,0.00084733
437,-0.00040856
438,0.00074123
439,0.00126048
440,-0.00132952
441,-0.00103700
442,-0.00125853
443,0.00000141
444,-0.00111732
445,-0.00046287
446,-0.00023816
447,-0.00143323
448,-0.00106935
449,-0.00129958
450,0.00067799
451,0.00116799
452,-0.00014336
453,-0.00067745
454,0.00010829
455,-0.00058416
456,-0.00091646
457,-0.00117073
458,-0.00043128
459,-0.00066970
460,0.00062158
461,-0.00120723
462,0.00097669
463,-0.00085724
464,0.00020709
465,-0.00088628
466,-0.00011322
467,-0.00078216
468,-0.00039620
469,-0.00076181
470,-0.00003304
471,-0.00098083
472,0.00071272
473,0.00075972
474,0.00006812
475,-0.00080175
476,-0.00067123
477,0.00003324
478,-0.00006952
479,0.00069640
480,-0.00074428
481,0.00001969
482,0.00048464
483,0.00028234
484,-0.00075228
485,0.00001077
486,-0.00091941
487,-0.00064473
488,-0.00002456
489,-0.00137680
490,-0.00087452
491,-0.00108944
492,-0.00069133
493,-0.00130831
494,-0.00105261
495,-0.00078465
496,-0.00055646
497,-0.00135169
498,-0.00136838
499,-0.00062750
500,0.00072323
501,-0.00161055
502,-0.00079436
503,-0.00133774
504,-0.00173779
505,-0.00022996
506,0.00043720
507,-0.00058548
508,0.00057237
509,-0.00066627
510,-0.00065096
511,-0.00045876
512,-0.00120506
513,-0.00074281
514,-0.00117849
515,-0.00173077
516,-0.00052648
517,-0.00036198
518,-0.00130586
519,-0.00128720
520,-0.00099112
521,-0.00067694
522,0.00010158
523,-0.00120204
524,-0.00007157
525,-0.00043383
526,0.00133762
527,-0.00071155
528,-0.00057356
529,-0.00114561
530,-0.00014223
531,0.00056497
532,-0.00047538
533,-0.00063332
534,-0.00036271
535,-0.00010547
536,-0.00058006
537,-0.00114534
538,-0.00073372
539,-0.00076729
540,-0.00063164
541,-0.00174051
542,0.00007077
543,-0.00037254
