Slice,Mean
1,-0.00246920
2,-0.00156803
3,0.00119598
4,-0.00237844
5,-0.00135905
6,0.00029251
7,-0.00105044
8,-0.00219257
9,-0.00081672
10,0.00034496
11,0.00063153
12,0.00035435
13,-0.00039381
14,-0.00069923
15,-0.00043828
16,-0.00113995
17,-0.00013095
18,0.00056243
19,-0.00052560
20,0.00052042
21,0.00033340
22,-0.00058742
23,-0.00071858
24,-0.00080930
25,0.00129770
26,0.00081795
27,0.00103701
28,0.00115002
29,0.00056320
30,0.00010662
31,0.00096820
32,-0.00043320
33,0.00164130
34,-0.00206907
35,0.00116328
36,0.00083193
37,-0.00002263
38,-0.00046132
39,-0.00032404
40,0.00004675
41,0.00084435
42,-0.00062599
43,0.00017946
44,0.00046942
45,0.00036608
46,0.00058191
47,-0.00183056
48,0.00039976
49,0.00065289
50,-0.00120074
51,0.00173234
52,0.00038681
53,-0.00015727
54,-0.00228957
55,0.00134100
56,0.00092401
57,-0.00104154
58,0.00001442
59,-0.00076075
60,-0.00125584
61,0.00133125
62,0.00036540
63,0.00036712
64,-0.00028018
65,0.00042761
66,0.00008578
67,-0.00126800
68,0.00151189
69,0.00139031
70,0.00056575
71,0.00015388
72,0.00166690
73,-0.00188111
74,0.00153976
75,0.00232382
76,0.00176468
77,0.00051183
78,0.00103080
79,0.00176513
80,0.00060419
81,-0.00004608
82,0.00011972
83,-0.00037148
84,0.00082054
85,-0.00150104
86,0.00019947
87,0.00139830
88,0.00140788
89,0.00188647
90,0.00038872
91,-0.00138960
92,0.00157692
93,0.00085411
94,-0.00066461
95,0.00081751
96,-0.00020372
97,0.00094231
98,-0.00051535
99,0.00116744
100,0.00089604
101,-0.00039236
102,0.00097134
103,0.00239459
104,0.00249189
105,0.00157422
106,-0.00101231
107,-0.00096395
108,0.00046635
109,-0.00004334
110,-0.00105843
111,0.00097469
112,0.00095424
113,0.00182962
114,0.00054604
115,0.00069387
116,-0.00070214
117,0.00165241
118,0.00078299
119,0.00129082
120,0.00024970
121,0.00099368
122,0.00038555
123,-0.00069079
124,0.00138437
125,0.00080801
126,0.00070390
127,0.00047058
128,0.00183534
129,0.00052399
130,-0.00040815
131,0.00051111
132,-0.00118419
133,0.00016228
134,-0.00095429
135,0.00193369
136,0.00195983
137,0.00176847
138,0.00139580
139,0.00001510
140,0.00043157
141,-0.00043646
142,0.00188852
143,0.00116663
144,0.00075756
145,0.00229827
146,-0.00039552
147,0.00103054
148,0.00117894
149,0.00155474
150,0.00097158
151,0.00008301
152,0.00167372
153,0.00057208
154,0.00122170
155,0.00011525
156,0.00181756
157,0.00071014
158,0.00094871
159,0.00163131
160,-0.00089645
161,0.00090739
162,-0.00057318
163,0.00147745
164,0.00057165
165,-0.00012996
166,0.00164038
167,0.00167332
168,0.00042243
169,0.00179509
170,0.00117267
171,-0.00004497
172,0.00080804
173,0.00095793
174,-0.00154015
175,0.00163363
176,0.00093276
177,0.00087845
178,0.00087845
179,-0.00027132
180,0.00129425
181,-0.00058648
182,-0.00060406
183,0.00223847
184,0.00135842
185,-0.00067367
186,0.00058013
187,0.00058013
188,0.00193303
189,0.00185877
190,0.00186828
191,0.00042573
192,0.00049554
193,0.00133870
194,0.00204960
195,0.00216850
196,-0.00053161
197,0.00055842
198,-0.00064386
199,0.00126876
200,0.00091573
201,0.00160320
202,0.00119581
