 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilH_fliC-_liq_Gasket_0_event21_tirf_RAW_Stack.tif,720,255,255,255,15.01111,45.36528,1,805,377.61739,303982.0,174,673,86.47402,215.8407,197.4454,137,295.64964,40504.0,87,467,111.96209,2,0,223.1593,253.5546,137,377.9927,51785.0,99,673,133.58911,0,0,0.8448700000000001,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event22_tirf_RAW_Stack.tif,867,255,255,255,47.73991,19.01442,1,976,297.57172,290430.0,136,539,74.93875,377.68506,234.29537,137,262.11679,35910.0,114,385,74.80279,0,0,313.67097,257.93461,137,307.06569,42068.0,95,539,118.62678,2,0,0.94037,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_Gasket_0_event22_tirf_RAW_Stack.tif,547,255,255,255,27.333640000000006,26.92048,1,624,187.46955,116981.0,86,296,41.74019000000001,97.43964,269.85548,112,164.46428999999995,18420.0,86,224,39.41393,0,0,126.01167,297.67931,112,200.28571,22432.0,89,296,57.34257,0,0,0.95824,mNG_pilH_fliC-,Liquid
3,mNG_pilH_fliC-_liq_Gasket_0_event22_tirf_RAW_Stack.tif,757,255,255,255,29.27411,39.78137,1,857,195.15519,167248.0,105,301,43.73839,104.16034,330.97187,137,181.78832,24905.0,82,266,57.37703000000001,0,0,70.63413,285.17863,137,192.0438,26310.0,83,301,53.96348,1,0,0.93915,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event23_tirf_RAW_Stack.tif,529,255,255,255,28.87807,27.55482,1,600,250.025,150015.0,139,356,51.33319,237.0352,203.81042,137,223.54745,30626.0,126,285,45.26376,0,0,263.59832,227.47256,137,224.52555,30760.0,96,319,67.96345,0,0,0.82406,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event24_tirf_RAW_Stack.tif,452,255,255,255,26.13496,17.61726,1,518,151.40541000000005,78428.0,84,224,31.81714,131.34646999999998,265.09154,97,121.16495,11753.0,48,172,36.24244,0,0,100.85877,247.55085,97,151.21649,14668.0,82,224,42.06969,3,0,0.84846,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_Gasket_0_event24_tirf_RAW_Stack.tif,452,255,255,255,21.39159,25.42257,1,518,233.57529,120992.0,108,389,54.57879000000001,198.32963,315.6377,112,207.85714,23280.0,102,275,50.15846,0,0,219.17322,341.76321,112,234.45536,26259.0,87,389,83.15793000000002,1,0,0.90997,mNG_pilH_fliC-,Liquid
3,mNG_pilH_fliC-_liq_Gasket_0_event24_tirf_RAW_Stack.tif,586,255,255,255,30.24915,26.19283,1,666,275.27928,183336.0,126,428,67.77067,341.8284700000001,236.79056,137,255.67153,35027.0,121,350,63.24138000000001,0,0,372.30184,209.3544,137,264.62774,36254.0,117,428,85.05552,0,0,0.91008,mNG_pilH_fliC-,Liquid
1,mNG_pilH_fliC-_liq_Gasket_0_event25_tirf_RAW_Stack.tif,481,255,255,255,30.08212,12.74948,1,541,245.83364,132996.0,129,343,48.29867,296.97623,142.37408,69,192.56522,13287.0,83,282,66.36541,0,0,259.95569,144.03305,69,227.95652,15729.0,110,343,77.97198,0,0,0.81492,mNG_pilH_fliC-,Liquid
2,mNG_pilH_fliC-_liq_Gasket_0_event25_tirf_RAW_Stack.tif,777,255,255,255,35.42149000000001,33.77156,1,881,245.80931,216558.0,130,372,54.19531,433.0505,216.33605,156,209.89103,32743.0,82,349,71.40746999999998,0,0,391.76099999999997,175.85622,156,230.33333,35932.0,95,372,78.33488,0,0,0.84691,mNG_pilH_fliC-,Liquid
