 	Label	BiologicalReplicate	CellArea	CellMean	CellTotalFluorescence	CellMin	CellMax	CellStd	X_PoleDim	Y_PoleDim	AreaPoleDim	MeanPoleDim	TotalFluorescencePoleDim	MinPoleDim	MaxPoleDim	StdPoleDim	Nb_Pili_PoleDim	Nb_Flagella_PoleDim	X_PoleBright	Y_PoleBright	AreaPoleBright	MeanPoleBright	TotalFluorescencePoleBright	MinPoleBright	MaxPoleBright	StdPoleBright	Nb_Pili_PoleBright	Nb_Flagella_PoleBright	PolarRatio	Strain	Growth	Cell_ID	Pole_RadiusDim	Pole_RadiusBright
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event17_tirf_RAW_Stack.tif	1	962	87.84407	84506	44	178	23.33016	327	314	156	84.01282	13106	37	148	30.88292	2	0	342	256	156	92.1859	14381	38	178	33.79383	2	0	1.00431	mNG_PilG_fliC-	Solid	1	13.95094	13.95094
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event18_tirf_RAW_Stack.tif	1	716	101.33659	72557	47	252	31.34335	228.08699	219.41525	69	99.50725	6866	50	134	25.94316	0	0	265	206	69	143.81159	9923	69	252	51.77845	2	0	1.26092	mNG_PilG_fliC-	Solid	1	8.76697	8.76697
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event19_tirf_RAW_Stack.tif	1	803	92.52802	74300	41	298	37.38737	239.03736	213.32532	156	78.12179	12187	33	119	22.17739	2	0	200.38197	231.57485	156	125.57692	19590	46	298	64.00484	4	0	1.17602	mNG_PilG_fliC-	Solid	1	13.65443	13.65443
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event2_tirf_RAW_Stack.tif	1	766	117.45561	89971	53	241	36.01793	272.69729	287.45519	177	120.28249	21290	46	241	51.2926	0	0	235	278	177	120.50847	21330	56	178	33.19452	2	0	1.04756	mNG_PilG_fliC-	Solid	1	14.92864	14.92864
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event20_tirf_RAW_Stack.tif	1	939	137.94888	129534	48	612	84.72432	406.8409	245.44409	156	133.87821	20885	58	281	57.52243	5	0	358	264	156	259.39103	40465	81	612	139.70201	6	0	1.80819	mNG_PilG_fliC-	Solid	1	13.25263	13.25263
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event21_tirf_RAW_Stack.tif	1	824	111.44417	91830	52	201	30.88184	357.42496	249.68656	156	102.27564	15955	38	189	37.33071	1	0	315	237	156	121.04487	18883	56	201	38.31253	3	0	1.00312	mNG_PilG_fliC-	Solid	1	13.94033	13.94033
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event22_tirf_RAW_Stack.tif	1	974	84.97844	82769	28	317	44.53619	228	300	177	84.53107	14962	14	223	52.50909	3	0	193	260	177	116.57062	20633	34	317	71.64041	0	0	1.32152	mNG_PilG_fliC-	Solid	1	14.01184	14.01184
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event23_tirf_RAW_Stack.tif	1	1167	86.88946	101400	42	205	26.20042	128.5865	253.98598	177	90.93785	16096	43	181	35.62672	2	0	146.10088	183.93591	177	95.15254	16842	37	205	40.94473	3	0	1.10493	mNG_PilG_fliC-	Solid	1	14.38241	14.38241
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event27_tirf_RAW_Stack.tif	1	906	88.50773	80188	47	312	36.36589	266.60144	348.46521	137	71.40146	9782	46	102	15.77529	2	0	240	303	137	141.83212	19431	61	312	61.58323	3	0	1.32186	mNG_PilG_fliC-	Solid	1	12.98986	12.98986
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event28_tirf_RAW_Stack.tif	1	783	67.6986	53008	38	160	19.59693	220.19572	395.95065	156	56.96795	8887	30	84	15.40566	0	0	241	435	156	83.20513	12980	39	160	32.41042	3	0	1.06004	mNG_PilG_fliC-	Solid	1	13.50894	13.50894
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event29_tirf_RAW_Stack.tif	1	1062	66.40019	70517	23	174	24.59119	175.43795	211.34365	156	67.42308	10518	21	174	36.79832	5	0	216	260	156	67.78846	10575	18	139	35.75689	2	0	1.0259	mNG_PilG_fliC-	Solid	1	13.89244	13.89244
1	mNG_PilG_fliC-_sol_Microchannel_BR1_1_event30_tirf_RAW_Stack.tif	1	932	92.12876	85864	37	197	30.52087	270.93126	198.6484	208	83.89904	17451	34	162	34.35471	2	0	234.01504	227.28232	208	88.96635	18505	19	197	41.66735	1	0	0.89363	mNG_PilG_fliC-	Solid	1	15.28885	15.28885
