 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio
1,fliC-_PaQa_solid_0_event10_tirf_RAW_Stack.tif,829,255,255,255,36.43969,41.4807,1,934,1667.44111,1557390.0,635,2594,538.77945,201.33333000000002,224.66667,69,1729.6231899999998,119344.0,824,2353,419.90038,0,0,239.33333,178.66666999999998,69,1675.36232,115600.0,835,2414,435.55137,1,0,1.0247600000000001
1,fliC-_PaQa_solid_0_event10_tirf_RAW_Stack.tif,770,255,255,255,22.232470000000003,45.85844,1,859,462.31082999999995,397125.0,196,701,128.11972,416.0,208.0,69,449.53623,31018.0,279,619,91.55801,3,0,424.0,266.0,69,429.95652,29667.0,251,583,86.15605,1,0,0.94239
1,fliC-_PaQa_solid_0_event11_tirf_RAW_Stack.tif,1397,255,255,255,60.782030000000006,60.008230000000005,1,1569,1687.5270899999998,2647730.0,608,2665,532.1888799999999,144.66666999999998,252.0,69,1687.50725,116438.0,791,2309,410.60052,9,0,224.66667,178.66666999999998,69,1266.2898599999999,87374.0,496,2091,460.33013,3,0,0.8647799999999999
1,fliC-_PaQa_solid_0_event13_tirf_RAW_Stack.tif,885,255,255,255,18.98701,45.97797,1,968,762.58884,738186.0,393,1222,199.85283,284.0,164.66666999999998,69,788.6376799999999,54416.0,391,1137,204.29045,1,0,282.0,216.0,69,720.4637700000001,49712.0,597,846,63.13701,0,0,0.9877299999999999
1,fliC-_PaQa_solid_0_event14_tirf_RAW_Stack.tif,791,255,255,255,48.49621,19.02339,1,881,1297.45516,1143058.0,588,1945,366.40066,145.33333000000002,285.33333,69,1182.97101,81625.0,601,1771,314.67261,3,0,205.33333000000002,284.66667,69,1225.2608699999998,84543.0,741,1546,229.32911000000001,2,0,0.9158200000000001
1,fliC-_PaQa_solid_0_event15_tirf_RAW_Stack.tif,941,255,255,255,31.503190000000004,42.534009999999995,1,1047,548.0611299999999,573820.0,288,1023,181.75688,54.0,318.0,69,670.9420299999999,46295.0,436,895,130.19701,1,0,80.0,368.66667,69,517.5652200000001,35712.0,416,581,42.63231,0,0,1.0983399999999999
1,fliC-_PaQa_solid_0_event1_tirf_RAW_Stack.tif,1387,255,255,255,54.77325,62.5757,1,1498,954.16889,1429345.0,230,2052,515.40721,188.66666999999998,189.33333000000002,316,937.6075900000001,296284.0,319,1809,425.5304,2,0,220.0,147.33333000000002,316,980.26266,309763.0,195,2052,601.93673,4,0,1.0086700000000002
2,fliC-_PaQa_solid_0_event1_tirf_RAW_Stack.tif,1160,255,255,255,56.75431,53.01379,1,1252,328.14297,410835.0,84,769,162.34055,394.66667,251.33333,316,252.25633,79713.0,103,481,94.74953000000001,1,0,362.66667,278.0,316,353.2943,111641.0,84,769,215.81172,0,0,0.85529
1,fliC-_PaQa_solid_0_event2_tirf_RAW_Stack.tif,676,255,255,255,36.17751,26.886090000000003,1,746,417.5067,311460.0,125,685,165.28207,346.0,231.33333,80,459.4,36752.0,190,637,122.55668999999999,0,0,312.0,220.66667,80,427.6,34208.0,201,622,122.44767,2,0,1.08063
1,fliC-_PaQa_solid_0_event3_tirf_RAW_Stack.tif,758,255,255,255,21.24011,37.67018,1,832,543.75601,452405.0,188,915,214.59307,274.0,260.0,69,567.21739,39138.0,274,813,139.47294,0,0,268.66667,297.33333,69,684.5652200000001,47235.0,421,846,102.31418000000001,2,0,1.1867
