Frame,CellID,Area,CellLength,CellSinuosity,CellWidth,MaxCellIntensity_PaQa,MeanCellIntensity_PaQa,MedianCellIntensity_PaQa,MinCellIntensity_PaQa,MaxCellIntensity_RFP,MeanCellIntensity_RFP,MedianCellIntensity_RFP,MinCellIntensity_RFP
1,1,4.55455,6.00771644662754,1.08176926914207,1.07594144822105,512,316.973098330241,325.5,134,936,653.996289424861,690,215
1,2,2.67865,3.21654328932551,1.04908586696422,1.13517619777724,1152,761.086750788643,783.5,338,984,642.085173501577,672.5,171
1,3,2.4843,3.23835864980598,1.05620101645988,1.16275534829989,719,480.204081632653,493,162,760,509.03231292517,546.5,161
1,4,3.37155,4.45567358379425,1.06013195917346,1.07594144822105,362,233.671679197995,242,81,756,485.567669172932,521,114
1,5,2.72935,3.6130142312685,1.09474976101787,1.07594144822105,404,249.108359133127,252.5,106,951,617.990712074303,643.5,215
1,6,2.606825,3.317278760297,1.07591348884495,1.105,551,335.94489465154,345,102,800,503.683954619125,517,173
1,7,3.13495,4.01878587593125,1.07141912384141,1.19854077944808,434,265.673854447439,274.5,90,821,552.816711590296,576.5,142
1,8,4.0729,5.38150711563425,1.05831475510884,1.07200746266059,670,447.615145228216,463.5,149,834,564.523858921162,584,144
1,9,2.49275,3.146861994377,1.051468847818,1.16275534829989,804,511.161016949153,526.5,218,795,516.884745762712,544,127
1,10,3.316625,4.251861994377,1.10552800334313,1.16275534829989,502,304.963057324841,309,110,861,594.864968152866,624,155
1,11,3.747575,5.11810749906155,1.07944226173155,1.07594144822105,547,372.779030439684,387,136,1012,730.192784667418,773,224
1,12,3.1772,4.13344145739377,1.0772017323345,1.13517619777724,488,309.168882978723,317,112,965,597.175531914894,627,143
1,13,2.8392,3.74763363903976,1.08246560085888,1.13517619777724,682,431.433035714286,442,152,1095,710.099702380952,731.5,244
1,14,2.632175,3.33305040495976,1.07863449552119,1.11830228471554,807,520.08025682183,533,221,789,528.025682182986,550,187
1,15,3.43915,4.26386868351903,1.07842414395932,1.16275534829989,549,353.055282555283,368,118,837,564.669533169533,592,166
1,16,4.09825,5.76306086516502,1.08020597697538,1.02774023955472,942,649.331958762887,671.5,200,953,663.267010309278,690.5,190
1,17,3.45605,4.49041197284454,1.07824201295739,1.16275534829989,942,643.111246943765,665,290,1046,732.621026894866,761,293
1,18,4.3771,5.85079256507329,1.08166170761161,1.07594144822105,794,546.99806949807,577,153,901,592.492277992278,624.5,187
1,19,2.98285,3.77917692836526,1.03412162519404,1.11830228471554,494,324.369688385269,331,99,1056,677.667138810198,700.5,266
1,20,3.874325,5.08194480196478,1.09052349677959,1.13517619777724,698,455.25627044711,467,202,964,653.931297709924,676,258
1,21,2.6533,3.60377541572599,1.10095542811782,1.04,510,324.988853503185,335,104,917,563.251592356688,581.5,144
1,22,3.1941,4.29541197284454,1.06364772212102,1.07594144822105,1556,1061.42195767196,1110,417,919,602.685185185185,633,144
1,23,3.688425,4.53231493398826,1.04679588990053,1.07200746266059,1529,1008.91867124857,1050,350,982,653.797250859106,705,110
1,24,2.61105,3.40266981273101,1.10904420863368,1.11830228471554,727,492.577669902913,511,177,1041,713.177993527508,745,287
1,25,2.589925,3.27039105243401,1.05532593550312,1.07200746266059,614,408.337683523654,421,148,1016,692.805872756933,721,240
1,26,3.316625,4.27650711563425,1.06435700674112,1.105,641,416.8,428,135,1043,733.55923566879,755,267
1,28,2.834975,3.65947471300622,1.06624991405933,1.11830228471554,1100,747.132637853949,775,272,1136,784.168405365127,809,290
1,29,2.52655,3.20077164466275,1.02389051060595,1.07200746266059,690,427.257525083612,446,102,899,548.775919732441,599,121
1,30,3.03355,3.69464032818179,1.07094060741918,1.16275534829989,1003,647.257660167131,671.5,205,1012,673.576601671309,697.5,201
1,31,3.232125,4.07731493398826,1.05102717145752,1.13517619777724,644,420.701960784314,434,150,981,664.369934640523,683,203
1,32,2.96595,4.10417692836526,1.06273593353982,1.02774023955472,655,426.377492877493,440,160,1519,1031.29344729345,1065,376
1,33,3.40535,4.15155374953077,1.08006400385133,1.105,1561,1100.41066997519,1141.5,473,909,628.85111662531,656,139
1,34,2.564575,3.27501046020527,1.07567487113583,1.07594144822105,627,413.532125205931,424,146,1079,714.945634266886,744,169
1,35,2.56035,3.48848809129029,1.03884224289649,1.02774023955472,903,573.018151815182,587,191,1080,738.399339933993,775.5,197
1,36,2.4505,3.31117315730203,1.0722665460656,1.07594144822105,682,438.88275862069,451,140,1049,698.470689655172,719.5,152
2,2,2.429375,3.47001046020527,1.07350820738083,1.0090713552569,701,453.509565217391,474,145,942,632.39652173913,656,128
2,3,2.40825,3.28616269709676,1.06891387081554,1.0090713552569,1028,667.894736842105,695.5,207,902,545.040350877193,582,105
2,4,2.28995,3.0438477631085,1.01704844576215,0.975,978,645.763837638376,664,228,905,567.961254612546,614,126
2,5,2.589925,3.78385822331377,1.07562729190642,0.946414285606467,710,457.561174551387,475,130,793,501.340946166395,528,92
2,6,2.28995,3.14962986797652,1.08215376582547,1.07200746266059,791,509.785977859779,532,155,880,533.090405904059,577,97
2,7,1.998425,3.10040151263927,1.07684967654196,0.990050503762308,4010,2766.64482029598,2855,779,1165,689.031712473573,739,129
2,8,3.7687,5.54113698361077,1.0801308355863,0.990050503762308,840,535.153587443946,550,159,948,578.706278026906,617.5,136
2,9,2.277275,3.447278760297,1.07498588040441,0.946414285606467,1271,816.324675324675,838,219,1135,644.397031539889,687,100
2,10,3.18565,5.06808657865102,1.05394499223146,0.872066511224918,1852,1273.40981432361,1324,410,905,607.990716180371,630.5,120
