 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio
1,pilB_mNG_Agarose_Gasket_2_event9_tirf_RAW_Stack.tif,1046,255,255,255,53.830780000000004,34.63098,1,1161,259.36692999999997,301125.0,84,1212,153.29962,144.66666999999998,326.66667,80,233.25,18660.0,96,334,72.1306,1,0,205.33333000000002,296.66667,80,637.375,50990.0,159,1212,300.88782000000003,1,0,1.88248
2,pilB_mNG_Agarose_Gasket_2_event9_tirf_RAW_Stack.tif,913,255,255,255,41.96331,37.04107,1,1017,116.2999,118277.0,46,205,38.67199,232.0,236.0,80,123.675,9894.0,74,162,23.54784,0,1,277.33333,270.66667,80,149.1875,11935.0,60,205,41.36564,0,0,1.21228
3,pilB_mNG_Agarose_Gasket_2_event9_tirf_RAW_Stack.tif,719,255,255,255,41.832409999999996,27.170379999999998,1,797,109.09034,86945.0,47,230,34.09755,306.66667,243.33333,80,98.7125,7897.0,49,144,26.30984,0,1,348.66667,254.66667,80,149.4,11952.0,80,230,39.8642,0,0,1.17777
4,pilB_mNG_Agarose_Gasket_2_event9_tirf_RAW_Stack.tif,936,255,255,255,39.20833,43.01709,1,1048,143.59733,150490.0,52,769,82.63486999999999,281.33333,96.66667,80,107.2375,8579.0,53,146,24.82559,0,1,241.33333,138.66666999999998,80,337.6125,27009.0,123,769,156.17229,1,0,1.71897
5,pilB_mNG_Agarose_Gasket_2_event9_tirf_RAW_Stack.tif,827,255,255,255,28.28114,45.83736,1,923,144.20585,133102.0,54,719,87.56311,399.33333,149.33333000000002,80,121.425,9714.0,72,160,20.23331,0,0,414.66667,95.33333,80,353.7875,28303.0,132,719,161.10203,2,0,1.90665
1,pilB_mNG_Agarose_Gasket_3_event1_tirf_RAW_Stack.tif,593,255,255,255,31.08516,19.56408,1,672,114.85863,77185.0,53,569,71.33581,306.5,319.0,37,91.59459,3389.0,69,106,10.80499,0,0,269.0,302.0,37,352.40541,13039.0,168,569,121.86684,0,1,2.18503
2,pilB_mNG_Agarose_Gasket_3_event1_tirf_RAW_Stack.tif,835,255,255,255,42.87725,15.93234,1,932,124.78541000000001,116300.0,59,602,66.28156,193.5,265.0,37,126.02703000000001,4663.0,104,146,11.47337,0,0,132.0,260.0,37,356.75676,13200.0,146,602,142.7662,0,1,2.10403
3,pilB_mNG_Agarose_Gasket_3_event1_tirf_RAW_Stack.tif,658,255,255,255,19.77356,34.472640000000006,1,732,156.44808999999998,114520.0,60,428,59.11654,370.0,231.0,37,154.51351,5717.0,111,193,22.78111,0,0,380.5,190.0,37,261.08108,9660.0,115,428,101.68043,0,0,1.37913
4,pilB_mNG_Agarose_Gasket_3_event1_tirf_RAW_Stack.tif,1091,255,255,255,41.28277,39.3011,1,1221,148.37183000000002,181162.0,55,856,100.40869,213.5,102.5,37,148.2973,5487.0,95,182,27.542759999999998,0,1,264.0,48.5,37,542.59459,20076.0,198,856,214.17354,1,0,2.5464599999999997
5,pilB_mNG_Agarose_Gasket_3_event1_tirf_RAW_Stack.tif,810,255,255,255,34.022220000000004,32.207409999999996,1,910,83.34945,75848.0,33,272,33.959579999999995,132.0,46.0,37,113.43243000000001,4197.0,64,144,24.33509,0,0,92.0,79.0,37,181.64865,6721.0,93,272,56.78576999999999,1,1,1.8996400000000002
