 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth
1,mNG_pilT_fliC-_sol_BR=1_1_event10_tirf_RAW_Stack.tif,1180,255,255,255,41.96864,31.56525,1,1309,376.9725,493457.0,141,1736,201.57607,456.21007000000003,333.8146,177,403.61582000000004,71440.0,126,938,198.19025,1,0,391.08651000000003,295.38229,177,560.32768,99178.0,120,1736,408.25694,2,0,1.42574,mNG_pilT_fliC-,Solid
2,mNG_pilT_fliC-_sol_BR=1_1_event10_tirf_RAW_Stack.tif,1161,255,255,255,13.87295,53.14513,1,1281,206.64715,264715.0,93,564,64.67626,106.85983999999999,125.52046999999999,156,151.12179,23575.0,65,224,43.137640000000005,0,0,110.27098000000001,206.42866999999998,156,235.21153999999999,36693.0,63,564,134.74085,0,0,0.9155399999999999,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event11_tirf_RAW_Stack.tif,762,255,255,255,19.25722,32.87008,1,845,383.40828,323980.0,150,785,138.72107,326.54152,257.26496000000003,177,348.43503,61673.0,154,552,115.16651999999999,4,0,341.61663,215.79261,177,446.11864,78963.0,127,785,183.69395,7,0,1.06392,mNG_pilT_fliC-,Solid
2,mNG_pilT_fliC-_sol_BR=1_1_event11_tirf_RAW_Stack.tif,775,255,255,255,42.46387,27.85871,1,860,300.41628,258358.0,119,852,130.95258,456.05024000000003,453.6564,225,260.84,58689.0,106,451,108.38507,1,0,423.48497000000003,431.01111,225,364.39556,81989.0,107,852,188.83846,1,0,1.08917,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event12_tirf_RAW_Stack.tif,1119,255,255,255,52.763630000000006,22.046020000000002,1,1246,244.80096,305022.0,59,1190,140.83878,442.95735,141.88427,137,230.56204,31587.0,94,413,81.73989,1,0,363.10348,165.32322,137,473.25547,64836.0,104,1190,299.01815,2,0,1.6397700000000002,mNG_pilT_fliC-,Solid
2,mNG_pilT_fliC-_sol_BR=1_1_event12_tirf_RAW_Stack.tif,1416,255,255,255,46.68291,33.40607,1,1561,400.14029,624619.0,114,743,144.55542,236.04471,230.27272999999997,208,371.34615,77240.0,94,709,165.33095,1,0,303.69906000000003,180.37992,208,393.88462000000004,81928.0,158,743,155.53068000000002,0,0,0.9412299999999999,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event13_tirf_RAW_Stack.tif,1462,255,255,255,32.38167,45.99111,1,1606,416.95953,669637.0,139,1311,175.50521,253.27143999999998,359.48625,208,446.00480999999996,92769.0,91,982,254.2529,1,0,300.44139,427.71225999999996,208,485.20192000000003,100922.0,96,1311,295.10217,2,0,1.16414,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event14_tirf_RAW_Stack.tif,623,255,255,255,29.22873,16.525679999999998,1,696,340.55316,237025.0,141,1247,167.70985,332.47538,278.52064,156,276.11537999999996,43074.0,104,385,84.37321,0,0,296.39462000000003,263.79764,156,468.07050999999996,73019.0,142,1247,295.48449,0,0,1.1815200000000001,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event16_tirf_RAW_Stack.tif,899,255,255,255,45.63459,13.76919,1,991,627.11403,621470.0,220,1487,225.88032,318.09965,199.77116999999998,177,573.16384,101450.0,106,1479,350.32461,4,0,259.92627999999996,190.07308999999998,177,671.69492,118890.0,230,1487,334.98478,1,0,0.9884299999999999,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event17_tirf_RAW_Stack.tif,740,255,255,255,35.25,19.99865,1,827,224.10641,185336.0,81,455,75.59546,282.12192999999996,217.58585,177,216.63277000000002,38344.0,78,455,92.29526,0,0,323.51597999999996,197.66308,177,219.16949,38793.0,45,436,103.37979,3,0,0.95257,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event1_tirf_RAW_Stack.tif,1153,255,255,255,44.55551,25.33695,1,1268,347.09937,440122.0,124,713,122.53286000000001,216.02415,274.62262999999996,225,308.15111,69334.0,84,587,139.71308,1,0,271.74587,241.98466000000002,225,345.32,77697.0,105,713,162.12981000000002,0,0,0.9119,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event3_tirf_RAW_Stack.tif,1122,255,255,255,27.083779999999997,46.19251,1,1236,244.92152000000002,302723.0,76,621,99.87559,343.72997000000004,128.02095,208,186.23077,38736.0,48,311,72.52063000000001,2,0,316.1285,188.91486,208,276.75962000000004,57566.0,88,621,148.15167,0,0,0.91961,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event4_tirf_RAW_Stack.tif,934,255,255,255,37.14882,20.55675,1,1038,539.65222,560159.0,192,1808,236.52684,329.3195,314.62064,177,481.0791,85151.0,139,940,212.26025,5,0,271.63608999999997,293.50055,177,737.66102,130566.0,204,1808,425.8943,1,0,1.2101,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event5_tirf_RAW_Stack.tif,1023,255,255,255,45.4042,15.98192,1,1129,390.71567999999996,441118.0,155,1077,137.43955,211.69474,338.06585,156,393.67307999999997,61413.0,123,821,183.39705,2,0,283.33237,327.11127,156,483.58974000000006,75440.0,134,1077,234.2808,1,0,1.1778,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event8_tirf_RAW_Stack.tif,722,255,255,255,29.33795,28.76316,1,810,382.7037,309990.0,121,1536,216.23528,179.90423,233.74025,156,358.80127999999996,55973.0,114,772,164.93058,4,0,146.43458,262.65234,156,582.5448700000001,90877.0,121,1536,370.32915,4,0,1.43677,mNG_pilT_fliC-,Solid
1,mNG_pilT_fliC-_sol_BR=1_1_event9_tirf_RAW_Stack.tif,1293,255,255,255,37.86582,41.79002,1,1422,202.39733,287809.0,70,482,74.44587,278.19548,406.60557,225,212.37332999999998,47784.0,62,482,103.9825,0,0,319.30048999999997,351.7673,225,215.63111,48517.0,71,465,98.20742,2,0,1.08617,mNG_pilT_fliC-,Solid
