 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
1,fliC-_PaQa_0h001.nd2 - C=2.tif,0,1,2.85188,58.81481,167.73251000000005,12,127,32.22163,2.42938,129.91304,315.60752,52,285,71.40213,0.53146,fliC-,PaQa,0,1
2,fliC-_PaQa_0h001.nd2 - C=2.tif,1,1,2.535,76.25,193.29376,15,149,38.95622,2.42938,169.34783000000004,411.4094,59,373,96.80327,0.46983,fliC-,PaQa,0,1
3,fliC-_PaQa_0h001.nd2 - C=2.tif,2,1,2.42938,72.0,174.91501,27,160,34.18931,2.21813,154.28571000000005,342.2250200000001,74,278,63.97667,0.5111100000000001,fliC-,PaQa,0,1
4,fliC-_PaQa_0h001.nd2 - C=2.tif,4,1,2.9575,245.64286,726.48879,103,486,118.6814,2.85188,201.7037,575.23378,90,421,85.26916999999997,1.26295,fliC-,PaQa,0,1
5,fliC-_PaQa_0h001.nd2 - C=2.tif,5,1,2.21813,61.52381,136.46751,24,130,31.997840000000004,2.1125,143.35,302.82689,44,344,91.42801,0.45065,fliC-,PaQa,0,1
6,fliC-_PaQa_0h001.nd2 - C=2.tif,6,1,1.2675,105.0,133.08751,52,139,24.35719,1.16188,227.54545,264.37939,108,308,61.96993000000001,0.5034,fliC-,PaQa,0,1
7,fliC-_PaQa_0h001.nd2 - C=2.tif,7,1,3.06313,101.34483,310.43189,25,241,62.99732,3.8025,180.11111,684.87253,26,423,124.65238,0.45327,fliC-,PaQa,0,1
8,fliC-_PaQa_0h001.nd2 - C=2.tif,8,1,2.64063,65.4,172.69688,17,135,37.25587,2.535,158.95833000000005,402.9594,37,401,109.68947,0.42857,fliC-,PaQa,0,1
9,fliC-_PaQa_0h001.nd2 - C=2.tif,9,1,2.00688,73.57895,147.66376,18,183,46.13906,3.06313,206.2069,631.63753,45,472,130.73976000000002,0.23378,fliC-,PaQa,0,1
10,fliC-_PaQa_0h001.nd2 - C=2.tif,10,1,3.27438,97.51613,319.30439,21,217,56.6862,3.16875,210.86667000000003,668.18378,44,501,134.79096,0.47787,fliC-,PaQa,0,1
11,fliC-_PaQa_0h001.nd2 - C=2.tif,12,1,2.74625,76.61538,210.40501,22,181,46.16672,2.535,217.20833,550.62315,62,426,117.2767,0.38212,fliC-,PaQa,0,1
12,fliC-_PaQa_0h001.nd2 - C=2.tif,13,1,2.535,172.33333000000005,436.86502,43,373,114.21401000000002,2.85188,461.85185,1317.14382,86,1206,353.37676,0.33168000000000003,fliC-,PaQa,0,1
13,fliC-_PaQa_0h001.nd2 - C=2.tif,14,1,2.535,70.5,178.71751,14,138,43.20125,2.64063,175.2,462.63752,47,406,114.92679,0.3863,fliC-,PaQa,0,1
14,fliC-_PaQa_0h001.nd2 - C=2.tif,15,1,2.64063,87.12,230.05126,23,156,42.50227,2.42938,214.08696,520.09753,81,365,98.51761,0.44232,fliC-,PaQa,0,1
15,fliC-_PaQa_0h001.nd2 - C=2.tif,16,1,2.64063,70.68,186.63938,26,169,36.86882,2.535,185.25,469.60877,65,438,115.71601,0.39744,fliC-,PaQa,0,1
16,fliC-_PaQa_0h001.nd2 - C=2.tif,17,1,2.42938,124.65217,302.82689,14,233,70.04129,2.64063,220.68,582.73315,66,411,117.3459,0.51967,fliC-,PaQa,0,1
17,fliC-_PaQa_0h001.nd2 - C=2.tif,18,1,2.21813,71.14286,157.80376,21,161,37.08812,2.32375,160.40909,372.75064,51,334,82.2474,0.42335,fliC-,PaQa,0,1
18,fliC-_PaQa_0h001.nd2 - C=2.tif,19,1,3.59125,111.41176000000002,400.10752,26,243,66.53416,3.59125,211.88235,760.92254,49,453,130.04959,0.52582,fliC-,PaQa,0,1
19,fliC-_PaQa_0h001.nd2 - C=2.tif,20,1,2.32375,97.40909,226.35439,20,213,57.73721999999999,2.21813,178.85714,396.72752,61,386,102.06483,0.57055,fliC-,PaQa,0,1
20,fliC-_PaQa_0h001.nd2 - C=2.tif,21,1,2.42938,78.91304000000002,191.70938,27,166,36.82874,2.535,176.875,448.37815,51,393,93.41367,0.4275600000000001,fliC-,PaQa,0,1
21,fliC-_PaQa_0h001.nd2 - C=2.tif,22,1,3.69688,106.22857,392.71377,24,247,66.41096999999999,2.21813,135.90476,301.45377,36,273,74.19158,1.30273,fliC-,PaQa,0,1
22,fliC-_PaQa_0h001.nd2 - C=2.tif,23,1,3.90813,83.40541,325.95877,14,168,47.49062,2.42938,161.47826,392.29127,56,346,83.62409,0.83091,fliC-,PaQa,0,1
23,fliC-_PaQa_0h001.nd2 - C=2.tif,24,1,2.85188,60.59259,172.80251,7,127,36.4135,3.8025,42.33333,160.97251,9,99,23.69569,1.07349,fliC-,PaQa,0,1
24,fliC-_PaQa_0h001.nd2 - C=2.tif,25,1,4.6475,68.36364,317.7200200000001,8,161,40.37965,2.85188,135.51852,386.48189,43,278,69.21392,0.8220799999999999,fliC-,PaQa,0,1
25,fliC-_PaQa_0h001.nd2 - C=2.tif,26,1,4.01375,133.26316,534.88503,41,236,63.2749,2.9575,176.25,521.2594,68,380,83.32339,1.02614,fliC-,PaQa,0,1
26,fliC-_PaQa_0h001.nd2 - C=2.tif,27,1,2.32375,68.54545,159.28251,24,129,30.90342,2.00688,155.36842,311.80502,62,262,68.32863,0.51084,fliC-,PaQa,0,1
