Unnamed: 0,index,_rlnReferenceImage,_rlnClassDistribution,_rlnAccuracyRotations,_rlnAccuracyTranslationsAngst,_rlnEstimatedResolution,_rlnOverallFourierCompleteness,_rlnClassPriorOffsetX,_rlnClassPriorOffsetY,_rlnHelicalRise,_rlnHelicalTwist,Strain,Class_nb,Pitch_mean,Pitch_std,Width_mean,Width_std
2,2,000003@Class2D/job023/run_it025_classes.mrcs,0.051705,0.1,0.1166,5.773617,1.0,0.004884,-0.0172,6.785,0.0,t8v,3,40.71,0.4997199215560664,0,0
3,3,000004@Class2D/job023/run_it025_classes.mrcs,0.038869,0.1,0.106,5.773617,1.0,-0.00359,-0.060479999999999985,6.785,0.0,t8v,4,40.025,1.0882049439328967,0,0
4,4,000005@Class2D/job023/run_it025_classes.mrcs,0.034720999999999995,0.1,0.106,5.89913,0.995905,-0.00162,-0.0381,6.785,0.0,t8v,5,0.0,0.0,0,0
5,5,000006@Class2D/job023/run_it025_classes.mrcs,0.039492,0.1,0.106,6.030222,1.0,-0.00179,-0.01523,6.785,0.0,t8v,6,40.94333333333333,2.838335192796413,0,0
6,6,000007@Class2D/job023/run_it025_classes.mrcs,0.025312,0.15,0.1166,6.460952,0.982404,-0.00514,0.02566,6.785,0.0,t8v,7,41.32333333333333,1.1417822325937037,0,0
7,7,000008@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,27.136,0.938706,0.0,0.0,6.785,0.0,t8v,8,0.0,0.0,0,0
8,8,000009@Class2D/job023/run_it025_classes.mrcs,0.022864,0.15,0.1166,6.618537,0.931072,-0.00449,0.002821,6.785,0.0,t8v,9,41.385,1.3291162477375675,0,0
9,9,000010@Class2D/job023/run_it025_classes.mrcs,0.042342000000000005,0.1,0.106,5.653333,0.981035,-0.00207,-0.0601,6.785,0.0,t8v,10,40.07,0.5122889809472788,0,0
10,10,000011@Class2D/job023/run_it025_classes.mrcs,0.034841000000000004,0.1,0.106,5.653333,0.984371,-0.00106,-0.08223,6.785,0.0,t8v,11,40.461666666666666,1.6812901791977097,0,0
11,11,000012@Class2D/job023/run_it025_classes.mrcs,0.026376,0.15,0.1166,7.141053,0.979111,0.001241,0.036684,6.785,0.0,t8v,12,40.973333333333336,1.6681206990702666,0,0
12,12,000013@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,45.226667,0.494115,0.0,0.0,6.785,0.0,t8v,13,0.0,0.0,0,0
13,13,000014@Class2D/job023/run_it025_classes.mrcs,0.057661,0.12,0.1166,5.773617,0.968992,-0.00149,0.011054,6.785,0.0,t8v,14,40.39,0.7025951892804286,0,0
14,14,000015@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,30.151111,0.602485,0.0,0.0,6.785,0.0,t8v,15,0.0,0.0,0,0
15,15,000016@Class2D/job023/run_it025_classes.mrcs,0.053449,0.1,0.106,5.537959,0.977617,-0.0049,0.014487,6.785,0.0,t8v,16,38.85166666666667,1.5432228182173373,0,0
16,16,000017@Class2D/job023/run_it025_classes.mrcs,0.058626,0.15,0.1166,5.537959,0.968979,0.003606,0.147456,6.785,0.0,t8v,17,41.17333333333334,1.414915780768123,0,0
17,17,000018@Class2D/job023/run_it025_classes.mrcs,0.051618,0.1,0.1166,5.537959,0.97528,-0.00934,0.058387,6.785,0.0,t8v,18,40.326666666666675,0.5872194365538906,0,0
18,18,000019@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,inf,,0.0,0.0,6.785,0.0,t8v,19,0.0,0.0,0,0
19,19,000020@Class2D/job023/run_it025_classes.mrcs,0.043214,0.1,0.106,5.773617,0.999903,-0.00191,0.038851,6.785,0.0,t8v,20,40.33166666666666,0.9083042808809538,0,0
20,20,000021@Class2D/job023/run_it025_classes.mrcs,0.038329,0.1,0.106,5.773617,0.995442,-0.00346,-0.0016300000000000002,6.785,0.0,t8v,21,41.696666666666665,1.3186912704142133,0,0
21,21,000022@Class2D/job023/run_it025_classes.mrcs,0.049912,0.1,0.1166,5.773617,0.99903,-0.00384,0.145635,6.785,0.0,t8v,22,41.225,0.9572199329307743,0,0
22,22,000023@Class2D/job023/run_it025_classes.mrcs,0.028114,0.1,0.106,5.89913,1.0,-0.0038,0.109768,6.785,0.0,t8v,23,40.86166666666667,0.5407556441375976,0,0
23,23,000024@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,24.669091,0.91349,0.0,0.0,6.785,0.0,t8v,24,0.0,0.0,0,0
24,24,000025@Class2D/job023/run_it025_classes.mrcs,0.047729,0.1,0.1166,5.653333,1.0,0.0003701404,-0.04172,6.785,0.0,t8v,25,41.278333333333336,0.4189232228782119,0,0
25,25,000026@Class2D/job023/run_it025_classes.mrcs,0.046912,0.1,0.1166,5.773617,0.98972,-0.00548,-0.03767,6.785,0.0,t8v,26,40.94666666666667,0.7630115770200728,0,0
26,26,000027@Class2D/job023/run_it025_classes.mrcs,0.024078,0.15,0.1378,6.460952,0.966597,-0.0034200000000000003,0.037823,6.785,0.0,t8v,27,40.02666666666667,1.909917973805861,0,0
27,27,000028@Class2D/job023/run_it025_classes.mrcs,0.0,999.0,999.0,54.272,0.730073,0.0,0.0,6.785,0.0,t8v,28,0.0,0.0,0,0
28,28,000029@Class2D/job023/run_it025_classes.mrcs,0.041373,0.1,0.106,5.773617,0.998157,-0.00354,0.033956,6.785,0.0,t8v,29,41.07333333333333,1.2986403145854777,0,0
29,29,000030@Class2D/job023/run_it025_classes.mrcs,0.054528,0.1,0.1166,5.653333,0.999142,-0.006529999999999999,0.031046,6.785,0.0,t8v,30,41.281666666666666,1.3357756797706193,0,0
