index, ,Label,Angle,Median,Class_nb,Pitch,Strain
53,54,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.9793200000000001,0.14039000000000001,19,41.349999999999994,WT
54,55,run_it025_classes.mrcs:z:19/30 - run_it025_classes.mrcs,0.498212,-0.115183,19,40.63000000000001,WT
55,56,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.0230299999999999,-0.076061,20,39.58,WT
56,57,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.0,-0.035331,20,38.51,WT
57,58,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,0.0,0.122147,20,38.16,WT
58,59,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.0050860000000001,-0.038942000000000004,20,40.29,WT
59,60,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-1.494334,-0.0018739999999999998,20,40.65,WT
60,61,run_it025_classes.mrcs:z:20/30 - run_it025_classes.mrcs,-0.996348,0.105952,20,40.64,WT
61,62,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.0050860000000001,-0.041539,21,40.29,WT
62,63,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-2.675427,-0.042739,21,37.85,WT
63,64,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-1.9920939999999998,0.096839,21,40.65999999999999,WT
64,65,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.012788,0.013359999999999999,21,40.34,WT
65,66,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.012788,0.032164,21,40.34,WT
66,67,run_it025_classes.mrcs:z:21/30 - run_it025_classes.mrcs,-3.483271,0.09765,21,40.71,WT
67,68,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,7.989327,-0.067398,22,40.67,WT
68,69,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.559947,-0.125854,22,40.12,WT
69,70,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,8.337444,0.019216999999999998,22,41.42,WT
70,71,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.75826,0.047939999999999997,22,42.26,WT
71,72,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,6.394398000000001,0.09109400000000001,22,41.24,WT
72,73,run_it025_classes.mrcs:z:22/30 - run_it025_classes.mrcs,5.710593,0.055142,22,42.61,WT
73,74,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.507436,-0.059493,23,40.29,WT
74,75,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.374835,-0.108574,23,44.18,WT
75,76,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.0050860000000001,0.001046,23,40.29,WT
76,77,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.0050860000000001,0.011197,23,40.29,WT
77,78,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-1.032245,0.089152,23,39.23,WT
78,79,run_it025_classes.mrcs:z:23/30 - run_it025_classes.mrcs,-0.493917,-0.007554000000000001,23,40.99,WT
79,80,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,1.481457,-0.056625,25,41.0,WT
80,81,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.5447660000000005,-0.035461,25,40.0,WT
81,82,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.878525,0.026723,25,41.78999999999999,WT
82,83,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.366461,0.060065999999999994,25,42.12,WT
83,84,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,3.9793819999999998,-0.048423,25,40.73,WT
84,85,run_it025_classes.mrcs:z:25/30 - run_it025_classes.mrcs,4.553768,-0.003092,25,40.05,WT
85,86,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.468801,-0.028892,26,41.349999999999994,WT
86,87,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.9877600000000001,0.090403,26,40.99,WT
87,88,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,-178.505666,0.140319,26,40.65,WT
88,89,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.9580669999999998,0.03275,26,41.36,WT
89,90,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,1.0050860000000001,-0.024586,26,40.29,WT
90,91,run_it025_classes.mrcs:z:26/30 - run_it025_classes.mrcs,0.502582,0.110864,26,40.28,WT
91,92,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.9628639999999999,-0.0854,28,42.05,WT
92,93,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.996348,-0.08276499999999999,28,40.64,WT
93,94,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-1.0050860000000001,0.009901,28,40.29,WT
94,95,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,0.5256350000000001,0.169752,28,38.51,WT
95,96,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-1.494334,0.14213,28,40.65,WT
96,97,run_it025_classes.mrcs:z:28/30 - run_it025_classes.mrcs,-0.996348,0.113889,28,40.64,WT
0,1,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-1.1088120000000001,-0.107624,1,41.08,t8v
1,2,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.739259,0.098138,1,41.08,t8v
2,3,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-1.507436,-0.070641,1,40.29,t8v
3,4,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.36493600000000004,-0.050874,1,41.61,t8v
4,5,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,0.0,0.138996,1,40.81,t8v
5,6,run_it025_classes.mrcs:z:1/30 - run_it025_classes.mrcs,-0.37204499999999996,-0.047820999999999995,1,40.81,t8v
6,7,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.678025,-0.023306999999999998,2,44.790000000000006,t8v
7,8,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.70298,0.12403099999999999,2,43.2,t8v
8,9,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,0.0,-0.045933999999999996,2,41.07000000000001,t8v
9,10,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,-0.37694,0.068622,2,40.28,t8v
10,11,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,1.961418,0.093363,2,38.71,t8v
11,12,run_it025_classes.mrcs:z:2/30 - run_it025_classes.mrcs,1.15345,-0.022791,2,39.49,t8v
12,13,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.497588,0.08668,3,40.56,t8v
13,14,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,3.366461,-0.10910399999999999,3,40.62,t8v
14,15,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.88405,-0.108258,3,40.3,t8v
15,16,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,2.1885830000000004,-0.020449000000000002,3,41.64,t8v
16,17,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,2.231175,0.126228,3,40.839999999999996,t8v
17,18,run_it025_classes.mrcs:z:3/30 - run_it025_classes.mrcs,1.88405,-0.041982,3,40.3,t8v
18,19,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,0.36727600000000005,-0.12291500000000001,4,41.34,t8v
19,20,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,1.11601,0.08623099999999999,4,40.82,t8v
20,21,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,0.395137,-0.12150599999999999,4,38.43,t8v
21,22,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,2.245743,0.008596,4,40.58,t8v
22,23,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,0.763898,0.110509,4,39.75,t8v
23,24,run_it025_classes.mrcs:z:4/30 - run_it025_classes.mrcs,1.161242,0.071913,4,39.23,t8v
24,25,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,0.38196599999999997,-0.101342,6,39.75,t8v
25,26,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-0.674037,-0.084024,6,45.05,t8v
26,27,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-0.790237,0.040777999999999995,6,38.43,t8v
27,28,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,-0.34724299999999997,0.161161,6,43.72999999999999,t8v
28,29,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,179.602119,0.080459,6,38.16,t8v
29,30,run_it025_classes.mrcs:z:6/30 - run_it025_classes.mrcs,180.0,0.111575,6,40.540000000000006,t8v
30,31,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-6.77216,-0.11596300000000001,7,42.7,t8v
31,32,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-8.991247,0.011917,7,42.39,t8v
32,33,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-8.078345,-0.081928,7,41.49,t8v
33,34,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-7.033416000000001,-0.036716000000000006,7,41.11999999999999,t8v
34,35,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-7.495858,0.094685,7,40.63000000000001,t8v
35,36,run_it025_classes.mrcs:z:7/30 - run_it025_classes.mrcs,-8.075896,-0.141403,7,39.61,t8v
36,37,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-7.219021000000001,0.13803900000000002,9,40.07,t8v
37,38,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-8.775056,0.068975,9,39.95,t8v
38,39,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-9.582945,0.14894200000000002,9,41.39,t8v
39,40,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-7.6867220000000005,-0.046245,9,43.59,t8v
40,41,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-8.440365,0.049382999999999996,9,41.52,t8v
41,42,run_it025_classes.mrcs:z:9/30 - run_it025_classes.mrcs,-8.387032000000001,-0.052757000000000005,9,41.78999999999999,t8v
42,43,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,0.744059,-0.134466,10,40.81,t8v
43,44,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,0.763898,-0.008754000000000001,10,39.75,t8v
44,45,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,1.9219560000000002,-0.052551,10,39.51,t8v
45,46,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,1.138177,-0.11309100000000001,10,40.02,t8v
46,47,run_it025_classes.mrcs:z:10/30 - run_it025_classes.mrcs,1.527525,0.074732,10,39.76,t8v
