, ,Label,Angle,Median,Class_nb,Width,Strain
0,1,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,-98.082633,0.10916700000000001,1,60.31,WT
1,2,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,80.193907,0.106647,1,58.089999999999996,WT
2,3,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,-98.32565,0.074528,1,58.56,WT
3,4,run_it025_classes-1.mrcs:z:1/30 - run_it025_classes.mrcs,82.359593,0.06498,1,58.47,WT
4,5,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-89.65064,0.120031,3,57.95000000000001,WT
5,6,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-90.69869399999999,0.136042,3,57.95000000000001,WT
6,7,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-90.69027700000001,0.12500799999999998,3,58.66,WT
7,8,run_it025_classes-1.mrcs:z:3/30 - run_it025_classes.mrcs,-90.0,0.15645799999999999,3,58.300000000000004,WT
8,9,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,-90.327401,0.129226,5,61.83,WT
9,10,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,-89.664941,0.150092,5,60.42,WT
10,11,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,89.329904,0.22587800000000002,5,60.42,WT
11,12,run_it025_classes-1.mrcs:z:5/30 - run_it025_classes.mrcs,90.33703,0.16358599999999998,5,60.07,WT
12,13,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,-89.666889,0.162192,7,60.769999999999996,WT
13,14,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,-90.0,0.24288099999999999,7,60.42,WT
14,15,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,-88.989003,0.170706,7,60.07999999999999,WT
15,16,run_it025_classes-1.mrcs:z:7/30 - run_it025_classes.mrcs,90.670096,0.157708,7,60.42,WT
16,17,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,-97.54942199999999,0.122879,8,59.17,WT
17,18,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,-96.414602,0.111143,8,60.09,WT
18,19,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,-96.225829,0.101311,8,58.65,WT
19,20,run_it025_classes-1.mrcs:z:8/30 - run_it025_classes.mrcs,82.15829699999999,0.097126,8,59.56,WT
20,21,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-81.67435,0.12700999999999998,9,58.56,WT
21,22,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-82.70305400000001,0.18566400000000002,9,58.42,WT
22,23,run_it025_classes-1.mrcs:z:9/30 - run_it025_classes.mrcs,-82.073073,0.081288,9,56.37,WT
