 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,Pole_RadiusDim,Pole_RadiusBright
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event27_tirf_RAW_Stack.tif,,,,,,,2,953,81.54774,77715.0,39,346,40.37919,247.19034,349.15971,156,64.76923000000001,10104.0,29,94,18.55414,0,0,203.0,320.0,156,134.62821,21002.0,53,346,72.47489,5,0,1.37113,mNG_PilG_fliC-,Solid,1.0,13.92839,13.92839
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event28_tirf_RAW_Stack.tif,,,,,,,2,984,87.36179,85964.0,44,219,28.21822,336.70228,258.21629,177,94.61017,16746.0,40,184,34.44842,1,0,283.3616600000001,265.26383,177,107.16949,18969.0,42,219,42.76674000000001,3,0,1.26491,mNG_PilG_fliC-,Solid,1.0,14.79676,14.79676
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event3_tirf_RAW_Stack.tif,,,,,,,2,822,92.14477,75743.0,50,363,42.88056,207.0,163.0,80,108.4875,8679.0,48,176,35.94088,1,0,214.0,98.0,80,184.75,14780.0,89,363,79.06455,3,0,1.85643,mNG_PilG_fliC-,Solid,1.0,9.82993,9.82993
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event30_tirf_RAW_Stack.tif,,,,,,,2,1093,82.56908,90248.0,37,345,39.28696,263.35179,264.2411,208,82.77885,17218.0,38,187,34.34282,0,0,217.39345,287.25727,208,115.90865,24109.0,38,345,68.79485,1,0,1.37478,mNG_PilG_fliC-,Solid,1.0,15.771579999999998,15.771579999999998
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event4_tirf_RAW_Stack.tif,,,,,,,2,610,109.29672,66671.0,56,191,26.35289,236.8545,237.17047,137,102.0292,13978.0,35,178,37.76844000000001,1,0,273.07958,226.60345,137,110.40146,15125.0,50,191,38.16421,0,0,0.94997,mNG_PilG_fliC-,Solid,1.0,12.26742,12.26742
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event5_tirf_RAW_Stack.tif,,,,,,,2,792,87.41162,69230.0,48,192,21.83549,188.0,228.0,137,91.62044,12552.0,48,133,21.44594,0,0,225.0,266.0,137,98.89781,13549.0,41,192,39.97504,0,0,1.14411,mNG_PilG_fliC-,Solid,1.0,12.38476,12.38476
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event6_tirf_RAW_Stack.tif,,,,,,,2,634,112.17981,71122.0,57,379,48.07389000000001,331.12143,250.92005,97,122.40206,11873.0,61,199,36.97653,0,0,311.54163,293.38741,97,176.08247,17080.0,60,379,85.93829000000002,3,0,1.55722,mNG_PilG_fliC-,Solid,1.0,10.53298,10.53298
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event7_tirf_RAW_Stack.tif,,,,,,,2,862,99.13805,85457.0,53,269,30.49523,303.0,281.0,112,109.16071,12226.0,54,183,32.560559999999995,0,0,365.15457,279.20112,112,134.83928999999998,15102.0,48,269,58.15954,0,0,1.33902,mNG_PilG_fliC-,Solid,1.0,11.93511,11.93511
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event8_tirf_RAW_Stack.tif,,,,,,,2,670,76.3194,51134.0,42,187,22.82813,284.98123,255.17105,97,86.0,8342.0,49,128,23.56551,0,0,236.85334,269.26666,97,102.54639,9947.0,41,187,40.3908,1,0,1.36624,mNG_PilG_fliC-,Solid,1.0,10.30716,10.30716
1,mNG_PilG_fliC-_sol_Microchannel_BR3_0_event10_tirf_RAW_Stack.tif,,,,,,,3,1050,137.03619,143888.0,68,462,59.02886,335.3569,248.21332,156,137.07692,21384.0,53,258,56.70905,2,0,274.0,238.0,156,222.85256,34765.0,84,462,98.84963,2,0,1.51374,mNG_PilG_fliC-,Solid,1.0,13.37904,13.37904
1,mNG_PilG_fliC-_sol_Microchannel_BR3_0_event11_tirf_RAW_Stack.tif,,,,,,,3,792,77.84975,61657.0,36,157,22.46394,226.0,280.0,156,81.50641,12715.0,36,139,26.15426,1,0,190.11512,302.64268,156,87.69872,13681.0,42,157,29.46215,1,0,1.15168,mNG_PilG_fliC-,Solid,1.0,13.95224,13.95224
1,mNG_PilG_fliC-_sol_Microchannel_BR3_0_event12_tirf_RAW_Stack.tif,,,,,,,3,1140,59.95701999999999,68351.0,18,275,35.49597,241.0,280.0,156,102.78846,16035.0,29,275,61.3,1,0,241.0,280.0,156,102.78846,16035.0,29,275,61.3,2,0,2.34582,mNG_PilG_fliC-,Solid,1.0,13.45362,13.45362
1,mNG_PilG_fliC-_sol_Microchannel_BR3_0_event14_tirf_RAW_Stack.tif,,,,,,,3,1107,82.42367,91243.0,47,198,22.163220000000006,281.22253,209.43119,177,83.88701,14848.0,40,167,29.94253,2,0,337.09904,174.0786,177,92.77401,16421.0,43,198,37.45929,3,0,1.10903,mNG_PilG_fliC-,Solid,1.0,14.34661,14.34661
1,mNG_PilG_fliC-_sol_Microchannel_BR3_0_event15_tirf_RAW_Stack.tif,,,,,,,3,1081,70.50046,76211.0,32,174,24.05169,336.0,306.0,156,90.10256,14056.0,35,162,31.62016,1,0,277.0,331.0,156,91.61538,14292.0,37,174,35.08303,0,0,1.4598,mNG_PilG_fliC-,Solid,1.0,13.44622,13.44622
