 ,Label,Area,Mean,Min,Max,X,Y,BiologicalReplicate,CellArea,CellMean,CellTotalFluorescence,CellMin,CellMax,CellStd,X_PoleDim,Y_PoleDim,AreaPoleDim,MeanPoleDim,TotalFluorescencePoleDim,MinPoleDim,MaxPoleDim,StdPoleDim,Nb_Pili_PoleDim,Nb_Flagella_PoleDim,X_PoleBright,Y_PoleBright,AreaPoleBright,MeanPoleBright,TotalFluorescencePoleBright,MinPoleBright,MaxPoleBright,StdPoleBright,Nb_Pili_PoleBright,Nb_Flagella_PoleBright,PolarRatio,Strain,Growth,Cell_ID,Pole_RadiusDim,Pole_RadiusBright
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event27_tirf_RAW_Stack.tif,,,,,,,1,906,88.50773000000002,80188.0,47,312,36.36589,266.60144,348.46521,137,71.40146,9782.0,46,102,15.77529,2,0,240.0,303.0,137,141.83212,19431.0,61,312,61.58323000000001,3,0,1.32186,mNG_PilG_fliC-,Solid,1.0,12.98986,12.98986
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event28_tirf_RAW_Stack.tif,,,,,,,1,783,67.6986,53008.0,38,160,19.59693,220.19572,395.95065,156,56.96795,8887.0,30,84,15.40566,0,0,241.0,435.0,156,83.20513000000003,12980.0,39,160,32.41042,3,0,1.06004,mNG_PilG_fliC-,Solid,1.0,13.50894,13.50894
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event29_tirf_RAW_Stack.tif,,,,,,,1,1062,66.40019000000001,70517.0,23,174,24.59119,175.43795,211.34365,156,67.42308,10518.0,21,174,36.79832,5,0,216.0,260.0,156,67.78846,10575.0,18,139,35.75689000000001,2,0,1.0259,mNG_PilG_fliC-,Solid,1.0,13.89244,13.89244
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event30_tirf_RAW_Stack.tif,,,,,,,1,932,92.12876,85864.0,37,197,30.52087,270.93126,198.6484,208,83.89904,17451.0,34,162,34.35471,2,0,234.01504,227.28232000000003,208,88.96635,18505.0,19,197,41.66735,1,0,0.8936299999999999,mNG_PilG_fliC-,Solid,1.0,15.28885,15.28885
2,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event30_tirf_RAW_Stack.tif,,,,,,,1,1420,132.0331,187487.0,49,476,60.38535,289.36996,368.66092,156,123.85256,19321.0,30,290,58.0499,6,0,257.0,288.0,156,193.84615,30240.0,48,476,106.49447,3,0,1.27608,mNG_PilG_fliC-,Solid,2.0,13.72604,13.72604
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event4_tirf_RAW_Stack.tif,,,,,,,1,842,93.03325,78334.0,45,198,25.65399,211.06657,188.7287,177,83.0,14691.0,42,127,26.8671,0,0,165.0,176.0,177,94.40678,16710.0,37,198,38.1859,2,0,0.92232,mNG_PilG_fliC-,Solid,1.0,14.59194,14.59194
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event5_tirf_RAW_Stack.tif,,,,,,,1,1371,116.92779,160308.0,52,396,46.63461,261.34648,287.2101,177,137.72881,24378.0,46,337,73.6915,4,0,233.0,213.0,177,149.72316,26501.0,61,396,74.4123,5,0,1.33575,mNG_PilG_fliC-,Solid,1.0,14.57997,14.57997
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event6_tirf_RAW_Stack.tif,,,,,,,1,2428,122.29283,296927.0,38,332,44.24688,293.0,181.0,177,155.90395,27595.0,59,293,57.09867,3,0,293.0,181.0,177,155.90395,27595.0,59,293,57.09867,4,0,1.33759,mNG_PilG_fliC-,Solid,1.0,14.43303,14.43303
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event7_tirf_RAW_Stack.tif,,,,,,,1,827,106.38452,87980.0,51,211,28.96507,304.5295,156.04092,177,99.36158,17587.0,35,163,30.40436,3,0,288.95554,196.14852,177,109.0452,19301.0,45,211,40.99083,4,0,0.9647,mNG_PilG_fliC-,Solid,1.0,14.92353,14.92353
1,mNG_PilG_fliC-_sol_Microchannel_BR1_1_event9_tirf_RAW_Stack.tif,,,,,,,1,844,88.44668,74649.0,44,246,34.980259999999994,173.0,220.0,137,101.06569,13846.0,37,246,55.52228,2,0,124.0,204.0,137,118.06569,16175.0,50,243,47.19051,1,0,1.3994,mNG_PilG_fliC-,Solid,1.0,12.73378,12.73378
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event10_tirf_RAW_Stack.tif,,,,,,,2,872,102.06193,88998.0,42,371,47.64231,202.0,233.0,80,130.775,10462.0,70,213,36.08709,2,0,142.0,249.0,80,210.475,16838.0,78,371,76.4742,4,0,1.96903,mNG_PilG_fliC-,Solid,1.0,9.94937,9.94937
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event11_tirf_RAW_Stack.tif,,,,,,,2,850,110.03059,93526.0,63,466,53.8481,303.38476,240.30991,80,128.3,10264.0,66,215,39.77004,1,0,239.52068,214.92882000000003,80,154.725,12378.0,62,461,106.48551,3,0,1.37751,mNG_PilG_fliC-,Solid,1.0,9.82993,9.82993
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event12_tirf_RAW_Stack.tif,,,,,,,2,789,192.28264,151711.0,95,277,46.55276,250.7977,265.34216000000004,156,171.30768999999995,26724.0,71,260,55.09495,0,0,299.2267,266.12603,156,185.33333,28912.0,71,274,63.90197,0,0,0.88534,mNG_PilG_fliC-,Solid,1.0,13.65891,13.65891
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event13_tirf_RAW_Stack.tif,,,,,,,2,689,124.67489,85901.0,53,553,89.03765,237.62807,263.4809,137,75.48905,10342.0,41,100,16.08485,0,0,199.0,266.0,137,252.87591,34644.0,89,553,132.14166,3,0,1.6653,mNG_PilG_fliC-,Solid,1.0,12.78011,12.78011
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event14_tirf_RAW_Stack.tif,,,,,,,2,1060,78.45189,83159.0,40,183,23.648000000000003,188.21207,334.65767,156,79.58974,12416.0,29,161,33.64096,1,0,126.0,304.0,156,91.91026,14338.0,39,183,36.50848,1,0,1.13715,mNG_PilG_fliC-,Solid,1.0,13.36732,13.36732
1,mNG_PilG_fliC-_sol_Microchannel_BR2_0_event15_tirf_RAW_Stack.tif,,,,,,,2,1024,158.58887,162395.0,55,515,81.39215,307.0,209.0,156,182.46795,28465.0,55,419,90.04769,2,0,366.0,217.0,156,263.30769,41076.0,66,515,129.4291,2,0,1.7090900000000002,mNG_PilG_fliC-,Solid,1.0,13.688670000000002,13.688670000000002
