Label,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_ID,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY,Strain,Reporter,TimePoint,TeckRep,MSD,RMSD,PaqaTotalFluorescence,rfpTotalFluorescence,PaQa_RFP_ratio
Track_0,101,0,0,0,0,0,300,0,300,0.39355,0,0,68.55485,20.42031,0,0.01257,0.07568,2.146e-09,3.84e-07,0.01706,2.91243,3.2901300000000004,2.38571,2.88218,0.15350999999999998,fliC-,PaQa,0,1,0.0011884400832989645,0.20575782443063428,167.73251000000005,315.60752,0.53146
Track_1,101,0,0,0,0,0,300,0,300,0.86972,1,1,2.3685,23.16168,0,0.01074,0.05756,0.0,2.199e-07,0.0149,3.12113,3.44538,2.78503,3.10969,0.14967,fliC-,PaQa,0,1,0.005490223458555068,0.6243050112386649,193.29376,411.4094,0.46983
Track_2,114,1,1,3,0,0,300,0,300,0.29912,2,2,235.26254,14.44389,0,0.00904,0.07173,0.0,1.574e-07,0.01475,2.75464,3.12536,2.3227900000000004,2.77496,0.18741,fliC-,PaQa,0,1,0.0011560302878547072,0.16457074676754732,174.91501,342.2250200000001,0.5111100000000001
Track_4,104,0,0,2,0,0,300,0,300,3.3179199999999995,4,4,262.93816,2.74485,0,0.07746,0.83885,0.0,0.03476,0.13945,2.51595,3.83004,0.15471,2.45523,0.69808,fliC-,PaQa,0,1,0.4754402004866717,1.2375877228007137,726.48879,575.23378,1.26295
Track_5,107,1,1,4,0,0,300,0,300,0.40108,5,5,135.68655,13.68556,0,0.00948,0.07459,1.203e-08,0.00354,0.01305,2.83304,3.12536,2.55261,2.77496,0.17342,fliC-,PaQa,0,1,0.000413835133047047,0.3740903458023663,136.46751,302.82689,0.45065
Track_6,101,0,0,0,0,0,300,0,300,0.65,6,6,156.43119,0.0,0,0.0195,0.10833,0.0,0.0,0.04183,4.94271,5.90726,4.27366,4.76904,0.4411600000000001,fliC-,PaQa,0,1,0.021019900497514277,0.4607613211033162,133.08751,264.37939,0.5034
Track_7,111,0,0,4,0,0,300,0,300,2.33682,7,7,196.50832,46.8921,0,0.0172,0.08456,0.0,0.01565,0.01938,2.36361,2.91015,1.56109,2.36963,0.25283,fliC-,PaQa,0,1,0.01949271324241481,1.2325821595616588,310.43189,684.87253,0.45327
Track_8,101,0,0,0,0,0,300,0,300,0.40319,8,8,296.8056,48.6362,0,0.0075299999999999985,0.04913,0.0,1.964e-07,0.01172,3.17005,3.5881,2.96926,3.1520200000000003,0.10472,fliC-,PaQa,0,1,0.0007544324224241541,0.23522180639766502,172.69688,402.9594,0.42857
Track_9,101,0,0,0,0,0,300,0,300,0.38894,9,9,119.8687,41.44782,0,0.01314,0.06911,0.0,0.0052,0.0168,2.15242,2.54562,1.5013,2.20977,0.18324,fliC-,PaQa,0,1,0.0016786670592159282,0.23547667046721854,147.66376,631.63753,0.23378
Track_10,100,1,1,0,0,0,300,0,300,0.93863,10,10,119.48258,46.35456,0,0.02879,0.12975,0.0,0.02203,0.03119,1.59261,2.24502,0.85496,1.56565,0.35491,fliC-,PaQa,0,1,0.008913853695049172,0.6192184010630482,319.30439,668.18378,0.47787
Track_12,101,0,0,0,0,0,300,0,300,0.26922,12,12,72.19238,37.33726,0,0.007409999999999998,0.04132,0.0,1.703e-07,0.01159,3.63801,3.98858,3.20248,3.63732,0.13662,fliC-,PaQa,0,1,0.0004342214845301971,0.2103886410304291,210.40501,550.62315,0.38212
Track_13,102,0,0,1,0,0,300,0,300,0.33233,13,13,140.26296000000002,26.09288,0,0.0059700000000000005,0.04437,0.0,1.388e-07,0.01213,1.5149,1.89595,1.23182,1.58388,0.16255999999999998,fliC-,PaQa,0,1,0.0011260921071884024,0.23259090890746906,436.86502,1317.14382,0.33168000000000003
Track_14,105,0,0,2,0,0,300,0,300,0.36664,14,14,177.92318,27.38118,0,0.01553,0.07459,1.256e-08,0.01152,0.01715,3.23129,3.5576,2.71325,3.22274,0.17281,fliC-,PaQa,0,1,0.0027995935674340207,0.6355572024172885,178.71751,462.63752,0.3863
