 ,Label,Track_ID,BiologicalReplicate,PaqaArea,PaqaMean,PaqaTotalFluorescence,PaqaMin,PaqaMax,PaqaStd,rfpArea,rfpMean,rfpTotalFluorescence,rfpMin,rfpMax,rfpStd,PaQa_RFP_ratio,Strain,Reporter,TimePoint,TeckRep
53,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,185,1,2.74625,54.23076999999999,148.93126,12,103,27.13862,2.74625,179.07692,491.79002,42,413,114.92533999999999,0.30284,pilT-pilA-fliC-,PaQa,0,1
54,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,189,1,5.17563,86.38776,447.11065,24,184,40.86197,5.07,286.33333,1451.7100699999999,59,613,144.2041,0.30799,pilT-pilA-fliC-,PaQa,0,1
55,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,192,1,2.535,44.875,113.75813000000001,14,100,21.03891,4.7531300000000005,199.93333,950.3081699999999,63,388,105.03753,0.11971,pilT-pilA-fliC-,PaQa,0,1
56,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,193,1,2.9575,56.57143000000001,167.31001,19,115,22.16509,5.17563,276.73469,1432.27507,50,528,136.16393,0.11681,pilT-pilA-fliC-,PaQa,0,1
57,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,196,1,1.05625,47.3,49.96063,17,75,19.385279999999998,1.05625,146.6,154.84626,75,234,54.77875,0.32265,pilT-pilA-fliC-,PaQa,0,1
58,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,197,1,3.06313,29.93103,91.6825,10,67,12.15064,2.42938,98.30435,238.81814,35,201,42.65766,0.3839,pilT-pilA-fliC-,PaQa,0,1
59,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,200,1,2.535,59.166669999999996,149.98751000000001,15,120,30.30665,2.64063,200.72,530.0262799999999,70,402,116.82484,0.28298,pilT-pilA-fliC-,PaQa,0,1
60,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,203,1,2.9575,55.0,162.66251,22,104,23.67371,2.74625,173.5,476.4744,71,361,90.21364,0.34139,pilT-pilA-fliC-,PaQa,0,1
61,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,204,1,2.74625,51.80769,142.27688,18,103,24.34094,2.535,159.33333000000002,403.91002000000003,36,327,91.92089,0.35225,pilT-pilA-fliC-,PaQa,0,1
62,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,205,1,3.16875,46.86667,148.50876,15,105,21.02992,2.74625,158.76923,436.02002000000005,64,359,79.72769,0.3406,pilT-pilA-fliC-,PaQa,0,1
63,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,208,1,2.9575,72.03571,213.04564,35,132,33.27604,2.42938,141.52174,343.80939,54,401,92.16333,0.61966,pilT-pilA-fliC-,PaQa,0,1
64,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,215,1,3.16875,36.06667,114.28626000000001,11,71,14.97799,2.74625,179.30768999999998,492.42377,63,349,82.89259,0.23209000000000002,pilT-pilA-fliC-,PaQa,0,1
65,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,220,1,4.01375,44.42105,178.29501000000002,14,88,18.148979999999998,4.7531300000000005,154.15556,732.72066,52,316,69.19273000000001,0.24333000000000002,pilT-pilA-fliC-,PaQa,0,1
66,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,224,1,2.64063,40.72,107.52626000000001,9,75,15.881120000000001,2.21813,138.0,306.10127,57,221,48.745259999999995,0.35128000000000004,pilT-pilA-fliC-,PaQa,0,1
67,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,227,1,2.0068799999999998,70.78947,142.06563,21,160,40.34928,2.21813,221.71428999999998,491.79002,71,511,139.61416,0.28886999999999996,pilT-pilA-fliC-,PaQa,0,1
68,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,228,1,2.64063,43.8,115.65938,17,98,25.79567,2.32375,157.68182,366.41314,47,380,99.56304,0.31565,pilT-pilA-fliC-,PaQa,0,1
69,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,233,1,4.54188,39.95349,181.46376,12,88,20.6097,3.9081300000000003,153.02703,598.04878,48,378,91.61619,0.30343000000000003,pilT-pilA-fliC-,PaQa,0,1
70,pilT-pilA-fliC-_PaQa_0h001.nd2 - C=2.tif,236,1,3.16875,32.7,103.61813000000001,5,60,12.649519999999999,2.9575,119.82143,354.37189,54,192,40.64667,0.2924,pilT-pilA-fliC-,PaQa,0,1
